Common Core
Contact Name,ARTINFO
Contact Email,ARTINFO@cdc.gov
Publisher,Centers for Disease Control and Prevention
Public Access Level,public
Issued,2023
Bureau Code,009:20
Program Code,009:020
Described By,https://data.cdc.gov/dataset/2021-Final-Assisted-Reproductive-Technology-ART-Se/ui6g-vumy
Homepage,https://www.cdc.gov/art/index.html
Topics
Category,Assisted Reproductive Technology (ART)
Tags,"art, fertility, infertility, clinic, success rates, services, assisted reproductive technology"
Licensing and Attribution
License,Public Domain
Source Link,http://www.cdc.gov/art/reports/index.html
