Common Core
Contact Name,National Syndromic Surveillance Program
Contact Email,nssp@cdc.gov
Public Access Level,public
Bureau Code,009:20
Program Code,009:037
Geographic Coverage,U.S.
Temporal Applicability,2022-11-19/2024-02-03
Update Frequency,R/P1W
Data Quality
Suggested Citation,"Centers for Disease Control and Prevention, Respiratory Virus Response. (2023). 2023 Respiratory Virus Response - NSSP Emergency Department Visits - COVID-19, Flu, RSV, National, Regional and State Level Trajectory"
Geospatial Resolution,"National, Regional, State"
Topics
Category,Public Health Surveillance
Tags,"respiratory-virus-response, covid19, coronavirus, flu, rsv, influenza, respiratory-syncytial-virus, emergency-department, ed, nssp, national-syndromic-surveillance-program, rvr, ophdst, ncird"
Licensing and Attribution
License,Public Domain U.S. Government
