Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2022-10-18
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,United States
Temporal Applicability,2020-01-01/2022-10-15
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
Data Quality
Suggested Citation,"National Center for Health Statistics. AH COVID-19 Death Counts by County and Week, 2020-present. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/ite7-j2w7."
Topics
Category,NCHS
Tags,"deaths, mortality, covid-19, county, nchs, coronavirus, all causes, nvss, provisional, weekly, united states, sdoh-environmental"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
