Data as of,Start Date,End Date,State,County of Occurrence,Fips Code,COVID-19 Deaths,Total Deaths,Footnote
6/15/2021,1/1/2020,12/31/2020,AK,Aleutians East Borough,2013,0,,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Aleutians West Census Area,2016,0,16,
6/15/2021,1/1/2020,12/31/2020,AK,Anchorage Borough,2020,163,2390,
6/15/2021,1/1/2020,12/31/2020,AK,Bethel Census Area,2050,11,122,
6/15/2021,1/1/2020,12/31/2020,AK,Bristol Bay Borough,2060,0,,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Denali Borough,2068,0,,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Dillingham Census Area,2070,,33,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Fairbanks North Star Borough,2090,26,556,
6/15/2021,1/1/2020,12/31/2020,AK,Haines Borough,2100,0,17,
6/15/2021,1/1/2020,12/31/2020,AK,Hoonah-Angoon Census Area,2105,0,12,
6/15/2021,1/1/2020,12/31/2020,AK,Juneau Borough,2110,,169,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Kenai Peninsula Borough,2122,14,384,
6/15/2021,1/1/2020,12/31/2020,AK,Ketchikan Gateway Borough,2130,0,98,
6/15/2021,1/1/2020,12/31/2020,AK,Kodiak Island Borough,2150,,62,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Kusilvak Census Area,2158,0,0,
6/15/2021,1/1/2020,12/31/2020,AK,Lake and Peninsula Borough,2164,0,,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Matanuska-Susitna Borough,2170,27,659,
6/15/2021,1/1/2020,12/31/2020,AK,Nome Census Area,2180,0,65,
6/15/2021,1/1/2020,12/31/2020,AK,North Slope Borough,2185,,40,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Northwest Arctic Borough,2188,0,45,
6/15/2021,1/1/2020,12/31/2020,AK,Petersburg Borough/Census Area,2195,0,28,
6/15/2021,1/1/2020,12/31/2020,AK,Prince of Wales-Hyder Census Area,2198,0,46,
6/15/2021,1/1/2020,12/31/2020,AK,Sitka Borough,2220,0,53,
6/15/2021,1/1/2020,12/31/2020,AK,Skagway Municipality,2230,0,,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Southeast Fairbanks Census Area,2240,0,33,
6/15/2021,1/1/2020,12/31/2020,AK,Valdez-Cordova Census Area,2261,,39,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Wrangell City and Borough,2275,0,23,
6/15/2021,1/1/2020,12/31/2020,AK,Yakutat Borough,2282,0,,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AK,Yukon-Koyukuk Census Area,2290,0,39,
6/15/2021,1/1/2020,12/31/2020,AL,Autauga County,1001,50,518,
6/15/2021,1/1/2020,12/31/2020,AL,Baldwin County,1003,138,2339,
6/15/2021,1/1/2020,12/31/2020,AL,Barbour County,1005,18,282,
6/15/2021,1/1/2020,12/31/2020,AL,Bibb County,1007,26,209,
6/15/2021,1/1/2020,12/31/2020,AL,Blount County,1009,36,526,
6/15/2021,1/1/2020,12/31/2020,AL,Bullock County,1011,,105,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AL,Butler County,1013,28,244,
6/15/2021,1/1/2020,12/31/2020,AL,Calhoun County,1015,181,1695,
6/15/2021,1/1/2020,12/31/2020,AL,Chambers County,1017,16,383,
6/15/2021,1/1/2020,12/31/2020,AL,Cherokee County,1019,13,298,
6/15/2021,1/1/2020,12/31/2020,AL,Chilton County,1021,22,413,
6/15/2021,1/1/2020,12/31/2020,AL,Choctaw County,1023,13,122,
6/15/2021,1/1/2020,12/31/2020,AL,Clarke County,1025,10,321,
6/15/2021,1/1/2020,12/31/2020,AL,Clay County,1027,33,207,
6/15/2021,1/1/2020,12/31/2020,AL,Cleburne County,1029,,134,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AL,Coffee County,1031,35,554,
6/15/2021,1/1/2020,12/31/2020,AL,Colbert County,1033,107,726,
6/15/2021,1/1/2020,12/31/2020,AL,Conecuh County,1035,,136,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AL,Coosa County,1037,,82,Data suppressed (counts from 1-9)
6/15/2021,1/1/2020,12/31/2020,AL,Covington County,1039,71,589,
6/15/2021,1/1/2020,12/31/2020,AL,Crenshaw County,1041,27,204,
6/15/2021,1/1/2020,12/31/2020,AL,Cullman County,1043,127,1169,
6/15/2021,1/1/2020,12/31/2020,AL,Dale County,1045,66,480,
6/15/2021,1/1/2020,12/31/2020,AL,Dallas County,1047,84,540,
6/15/2021,1/1/2020,12/31/2020,AL,DeKalb County,1049,70,774,
6/15/2021,1/1/2020,12/31/2020,AL,Elmore County,1051,39,713,
6/15/2021,1/1/2020,12/31/2020,AL,Escambia County,1053,35,428,
6/15/2021,1/1/2020,12/31/2020,AL,Etowah County,1055,252,1805,
6/15/2021,1/1/2020,12/31/2020,AL,Fayette County,1057,15,166,
6/15/2021,1/1/2020,12/31/2020,AL,Franklin County,1059,17,329,
6/15/2021,1/1/2020,12/31/2020,AL,Geneva County,1061,24,336,
