Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2021-05-12
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,United States
Temporal Applicability,2020-01-01/2020-12-31
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
Data Quality
Suggested Citation,"National Center for Health Statistics. AH County of Residence COVID-19 Deaths Counts, 2020 Provisional. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/75vb-d79q."
Geographic Coverage,United States
Topics
Category,NCHS
Tags,"deaths, mortality, covid-19, county, nchs, coronavirus, yearly, all causes, nvss, provisional, united states"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
