Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2021-03-25
Bureau Code,009:20
Program Code,009:020
Temporal Applicability,2018/2020
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/nvss/index.htm
Data Quality
Suggested Citation,"National Center for Health Statistics. AH Deaths by Week, Sex, and Age for 2018-2020. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/w56u-89fn."
Geographic Coverage,United States
Topics
Category,NCHS
Tags,"nchs, nvss, provisional, deaths, mortality, united states, weekly, sex, age, age group, all causes"
Licensing and Attribution
License,Public Domain U.S. Government
