Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,0 years,424
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,1-4 years,85
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,10-14 years,73
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,15-19 years,212
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,20-24 years,423
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,25-29 years,555
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,30-34 years,660
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,35-39 years,821
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,40-44 years,884
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,45-49 years,1424
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,5-9 years,46
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,50-54 years,2306
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,55-59 years,3718
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,60-64 years,4850
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,65-69 years,5646
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,70-74 years,6594
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,75-79 years,7316
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,80-84 years,8382
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,85 years and over,21716
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,All Ages,66139
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,All Sexes,Unknown,4
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,F,0 years,165
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,F,1-4 years,39
03/21/2021,12/31/2017,01/06/2018,2018,1,01/06/2018,F,10-14 years,29
