Data As Of,Start Date,End Date,Year,Sex,Age Group,Total Deaths
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,All Ages,2712630
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,0 years,23455
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,1-4 years,3965
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,5-9 years,2402
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,10-14 years,3009
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,15-19 years,10186
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,20-24 years,20308
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,25-29 years,23898
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,30-34 years,27619
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,35-39 years,31417
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,40-44 years,41671
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,45-49 years,64377
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,50-54 years,110117
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,55-59 years,159589
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,60-64 years,198196
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,65-69 years,235482
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,70-74 years,259534
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,75-79 years,290405
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,80-84 years,347161
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,85 years and over,859701
03/21/2021,01/01/2015,12/31/2015,2015,All Sexes,Unknown,138
03/21/2021,01/01/2015,12/31/2015,2015,F,All Ages,1339226
03/21/2021,01/01/2015,12/31/2015,2015,F,0 years,10447
03/21/2021,01/01/2015,12/31/2015,2015,F,1-4 years,1684
03/21/2021,01/01/2015,12/31/2015,2015,F,5-9 years,1025
03/21/2021,01/01/2015,12/31/2015,2015,F,10-14 years,1233
03/21/2021,01/01/2015,12/31/2015,2015,F,15-19 years,2999
03/21/2021,01/01/2015,12/31/2015,2015,F,20-24 years,5149
03/21/2021,01/01/2015,12/31/2015,2015,F,25-29 years,6725
03/21/2021,01/01/2015,12/31/2015,2015,F,30-34 years,9011
03/21/2021,01/01/2015,12/31/2015,2015,F,35-39 years,11227
03/21/2021,01/01/2015,12/31/2015,2015,F,40-44 years,16191
03/21/2021,01/01/2015,12/31/2015,2015,F,45-49 years,25570
03/21/2021,01/01/2015,12/31/2015,2015,F,50-54 years,43377
03/21/2021,01/01/2015,12/31/2015,2015,F,55-59 years,62417
03/21/2021,01/01/2015,12/31/2015,2015,F,60-64 years,77742
03/21/2021,01/01/2015,12/31/2015,2015,F,65-69 years,97852
03/21/2021,01/01/2015,12/31/2015,2015,F,70-74 years,114817
03/21/2021,01/01/2015,12/31/2015,2015,F,75-79 years,136686
03/21/2021,01/01/2015,12/31/2015,2015,F,80-84 years,177034
03/21/2021,01/01/2015,12/31/2015,2015,F,85 years and over,537997
03/21/2021,01/01/2015,12/31/2015,2015,F,Unknown,43
03/21/2021,01/01/2015,12/31/2015,2015,M,All Ages,1373404
03/21/2021,01/01/2015,12/31/2015,2015,M,0 years,13008
03/21/2021,01/01/2015,12/31/2015,2015,M,1-4 years,2281
03/21/2021,01/01/2015,12/31/2015,2015,M,5-9 years,1377
03/21/2021,01/01/2015,12/31/2015,2015,M,10-14 years,1776
03/21/2021,01/01/2015,12/31/2015,2015,M,15-19 years,7187
03/21/2021,01/01/2015,12/31/2015,2015,M,20-24 years,15159
03/21/2021,01/01/2015,12/31/2015,2015,M,25-29 years,17173
03/21/2021,01/01/2015,12/31/2015,2015,M,30-34 years,18608
03/21/2021,01/01/2015,12/31/2015,2015,M,35-39 years,20190
03/21/2021,01/01/2015,12/31/2015,2015,M,40-44 years,25480
03/21/2021,01/01/2015,12/31/2015,2015,M,45-49 years,38807
