Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2021-02-11
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,United States
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/nvss/index.htm
Data Quality
Suggested Citation,"National Center for Health Statistics. AH Monthly Provisional Counts of Deaths for Select Causes of Death by Age, and Race and Hispanic Origin. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/r5pw-bk5t."
Geographic Coverage,United States
Topics
Category,NCHS
Tags,"age, race, hispanic origin, monthly, nchs, nvss, age group, united states, mortality, coronavirus, covid-19, all causes, provisional, causes of death, deaths, natural cause, septicemia, cancer, diabetes, alzheimer disease, influenza, pneumonia, chronic lower respiratory disease, respiratory disease, kidney disease, diseases of heart, cerebrovascular disease"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/nvss/covid-19.htm
