Data as of,Start Date,End Date,Race or Hispanic Origin,Sex,Age Group,COVID-19 Deaths,Total Deaths
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,Under 14,8,1079
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,14-21 years,23,503
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,22-29 years,88,890
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,30-44 years,451,2713
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,45-54 years,869,3723
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,55-64 years,1795,6940
01/25/2021,03/01/2020,07/31/2020,Hispanic,Female,65 years and over,8721,39377
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,Under 14,18,1400
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,14-21 years,39,1508
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,22-29 years,206,2962
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,30-44 years,1496,7657
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,45-54 years,2738,8772
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,55-64 years,4493,13669
01/25/2021,03/01/2020,07/31/2020,Hispanic,Male,65 years and over,11680,40399
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,Under 14,0,58
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,14-21 years,1,49
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,22-29 years,9,132
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,30-44 years,58,475
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,45-54 years,77,451
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,55-64 years,140,769
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Female,65 years and over,438,2496
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,Under 14,2,75
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,14-21 years,2,108
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,22-29 years,17,278
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,30-44 years,83,796
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,45-54 years,123,691
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,55-64 years,193,1092
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic American Indian or Alaska Native,Male,65 years and over,421,2277
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,Under 14,0,141
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,14-21 years,1,71
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,22-29 years,10,113
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,30-44 years,49,487
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,45-54 years,121,825
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,55-64 years,273,1629
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Female,65 years and over,2479,15314
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,Under 14,4,178
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,14-21 years,2,130
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,22-29 years,14,285
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,30-44 years,112,953
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,45-54 years,266,1396
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,55-64 years,714,2839
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Asian,Male,65 years and over,3031,14896
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,Under 14,8,1413
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,14-21 years,15,550
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,22-29 years,68,1405
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,30-44 years,489,4766
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,45-54 years,958,6744
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,55-64 years,2471,14562
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Female,65 years and over,12471,64304
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,Under 14,10,1884
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,14-21 years,20,1885
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,22-29 years,111,3938
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,30-44 years,700,8656
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,45-54 years,1541,10389
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,55-64 years,3634,21580
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Black,Male,65 years and over,12717,57597
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Native Hawaiian or Other Pacific Islander,Female,Under 14,1,18
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Native Hawaiian or Other Pacific Islander,Female,14-21 years,0,6
01/25/2021,03/01/2020,07/31/2020,Non-Hispanic Native Hawaiian or Other Pacific Islander,Female,22-29 years,2,12
