Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,United States
Temporal Applicability,2020-01-01/2022-09-03
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
Data Quality
Suggested Citation,"National Center for Health Statistics. AH Provisional COVID-19 Deaths by HHS Region, Race, Age 65plus. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/9xc7-3a4q."
Topics
Category,NCHS
Tags,"covid-19, race, hispanic origin, age, deaths, nchs, nvss, provisional, coronavirus, age group, weekly, all causes, mortality, united states, hhs region"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/nvss/covid-19.htm
