Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2021-05-12
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,United States
Temporal Applicability,2015-01-04/2021-07-03
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
Data Quality
Suggested Citation,National Center for Health Statistics. AH Provisional COVID-19 Deaths by Hospital Referral Region. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/mqmc-4b9n.
Geographic Coverage,United States
Topics
Category,NCHS
Tags,"nchs, deaths, mortality, covid-19, coronavirus, hospital referral region, all causes, nvss, weekly, provisional, united states, sdoh-access-to-health-care"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
