Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2021-02-01
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,United States
Temporal Applicability,2020-01-01/2021-01-30
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
Data Quality
Suggested Citation,National Center for Health Statistics. AH Provisional COVID-19 Deaths by Race and Educational Attainment. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/i6ej-9eac.
Geographic Coverage,United States
Topics
Category,NCHS
Tags,"race, education, covid-19, deaths, hispanic origin, coronavirus, all causes, nchs, nvss, provisional, mortality, united states, sdoh-high-school, sdoh-higher-education"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/nvss/covid-19.htm
