Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2020-10-02
Bureau Code,009:20
Program Code,009:020
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
Data Quality
Suggested Citation,"National Center for Health Statistics. AH Provisional COVID-19 Deaths by Week, Place of Death, and Age. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/g7hk-rc8d."
Geographic Coverage,United States
Topics
Category,NCHS
Tags,"nchs, nvss, provisional, mortality, deaths, united states, weekly, place of death, age group, age, covid-19, coronavirus"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm
