Data as of,Start Date,End Date,MMWR Week ,Week Ending Date,Jurisdiction of Occurrence,Place Of Death,Age Group,COVID-19 Deaths
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",0-17 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",18-29 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",30-39 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",40-49 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",50-64 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",65-74 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",75-84 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, inpatient",85 years and over,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",0-17 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",18-29 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",30-39 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",40-49 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",50-64 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",65-74 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",75-84 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, outpatient or emergency room",85 years and over,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, dead on arrival",0-17 years,0
06/08/2021,12/29/2019,01/04/2020,1,01/04/2020,United States,"Healthcare setting, dead on arrival",18-29 years,0
