Year,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,GeoLocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,BreakOutID,BreakOutCategoryID,Data_Value_Category,Data_Value_Category_ID
2011,AR,Arkansas,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(34.748650124, -92.274490743)",SYNOP,LEAD,LEAD1_1,,05,,,Yes,CAT10001
2012,IL,Illinois,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(40.485010283, -88.997710178)",SYNOP,LEAD,LEAD1_3,,17,,,Not Asked,CAT99999
2019,ND,North Dakota,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(47.47531977900047, -100.11842104899966)",SYNOP,LEAD,LEAD1_2,,38,,,<1,CAT2
2020,MO,Missouri,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Early Childhood Caries (ECC) prevention programs,Type of Program,"(38.635790776000476, -92.56630005299968)",SYNOP,PROG,PROG4_1,,29,BO12,BOC3,Yes,CAT10001
2011,OR,Oregon,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(44.567449424, -120.155031326)",SYNOP,LEAD,LEAD1_1,,41,,,Yes,CAT10001
2013,MD,Maryland,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(39.290580964, -76.609260111)",SYNOP,LEAD,LEAD1_1,,24,,,Yes,CAT10001
2015,NC,North Carolina,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For older adults,Type of Program,"(35.466220975, -79.159250463)",SYNOP,PROG,PROG4_3,,37,BO20,BOC3,No,CAT10002
2015,NC,North Carolina,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(35.466220975, -79.159250463)",SYNOP,LEAD,LEAD1_1,,37,,,Yes,CAT10001
2013,NY,New York,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,3,3,,,,,,,,"(42.827001032, -75.543970427)",SYNOP,LEAD,LEAD1_2,,36,,,1-4,CAT5
2013,WV,West Virginia,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,School-based or school-linked sealant programs,Type of Program,"(38.665510202, -80.712640135)",SYNOP,PROG,PROG4_1,,54,BO10,BOC3,Yes,CAT10001
2011,NC,North Carolina,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,,99999,NA,Question not asked,,,,,,"(35.466220975, -79.159250463)",SYNOP,LEAD,LEAD1_6,,37,,,Not Asked,CAT99999
2017,OR,Oregon,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,2,2,,,,,,,,"(44.567449424, -120.155031326)",SYNOP,LEAD,LEAD1_2,,41,,,1-4,CAT5
2019,WV,West Virginia,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,8,8,,,,,,,,"(38.66551020200046, -80.71264013499967)",SYNOP,LEAD,LEAD1_2,,54,,,5-9,CAT7
2012,NC,North Carolina,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(35.466220975, -79.159250463)",SYNOP,LEAD,LEAD1_1,,37,,,Yes,CAT10001
2013,OH,Ohio,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(40.060210141, -82.404260056)",SYNOP,LEAD,LEAD1_1,,39,,,Yes,CAT10001
2017,IL,Illinois,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(40.485010283, -88.997710178)",SYNOP,LEAD,LEAD1_2,,17,,,<1,CAT2
2020,NE,Nebraska,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,Civil Service,10005,,,,,,,,"(41.6410409880005, -99.36572062299967)",SYNOP,LEAD,LEAD1_3,,31,,,Civil Service,CAT10005
2020,HI,Hawaii,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(21.304850435000446, -157.85774940299973)",SYNOP,LEAD,LEAD1_1,,15,,,Yes,CAT10001
2017,WV,West Virginia,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(38.665510202, -80.712640135)",SYNOP,LEAD,LEAD1_1,,54,,,Yes,CAT10001
2017,OR,Oregon,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,No,10002,,,,,,Early Childhood Caries (ECC) prevention programs,Type of Program,"(44.567449424, -120.155031326)",SYNOP,PROG,PROG4_1,,41,BO12,BOC3,No,CAT10002
2011,UT,Utah,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,10,10,,,,,,,,"(39.360700171, -111.587130635)",SYNOP,LEAD,LEAD1_2,,49,,,>=10,CAT9
2013,KS,Kansas,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(38.3477403, -98.200781227)",SYNOP,LEAD,LEAD1_1,,20,,,Yes,CAT10001
2015,NM,New Mexico,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(34.520880952, -106.240580985)",SYNOP,LEAD,LEAD1_1,,35,,,Yes,CAT10001
2015,LA,Louisiana,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(31.312660644, -92.445680071)",SYNOP,LEAD,LEAD1_1,,22,,,Yes,CAT10001
2014,CA,California,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(37.638640123, -120.999999538)",SYNOP,LEAD,LEAD1_1,,06,,,Yes,CAT10001
2018,NJ,New Jersey,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(40.130570048, -74.273691288)",SYNOP,LEAD,LEAD1_1,,34,,,Yes,CAT10001
2020,IL,Illinois,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Fluoride varnish programs,Type of Program,"(40.48501028300046, -88.99771017799969)",SYNOP,PROG,PROG4_1,,17,BO13,BOC3,Yes,CAT10001
2016,NE,Nebraska,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,1,1,,,,,,,,"(41.641040988001, -99.365720623)",SYNOP,LEAD,LEAD1_2,,31,,,1-4,CAT5
2014,MN,Minnesota,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(46.355648736, -94.794200503)",SYNOP,LEAD,LEAD1_1,,27,,,Yes,CAT10001
2013,AL,Alabama,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For state dental director,Requirement,"(32.840571122, -86.631860762)",SYNOP,LEAD,LEAD1_4,,01,BO2,BOC1,No,CAT10002
2019,FL,Florida,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For older adults,Type of Program,"(28.932040377000476, -81.92896053899966)",SYNOP,PROG,PROG4_3,,12,BO20,BOC3,No,CAT10002
2019,DE,Delaware,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(39.008830667000495, -75.57774116799965)",SYNOP,LEAD,LEAD1_6,,10,,,Yes,CAT10001
