Common Core
Contact Name,National Center for Health Statistics
Contact Email,cdcinfo@cdc.gov
Publisher,National Center for Health Statistics
Public Access Level,public
Issued,2020-09-14
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,US
Temporal Applicability,2020-06-09/2021-06-30
Update Frequency,irregular
Homepage,https://www.cdc.gov/nchs/covid19/rands/telemedicine.htm
Language,en-US
Data Quality
Suggested Citation,National Center for Health Statistics. Access and Use of Telemedicine During COVID-19. Data accessed [Last accessed date]. Available from: https://data.cdc.gov/d/8xy9-ubqz.
Topics
Category,NCHS
Tags,"covid-19, rands, sdoh-high-school, sdoh-higher-education, sdoh-access-to-health-care, sdoh-use-of-health-care"
Licensing and Attribution
License,Public Domain U.S. Government
