Year,Value,Units,Bacteria,Topic,ViewBy,ViewBy2
1997,8600,Counts,group A Streptococcus,Number of cases and deaths,ALL,Number of survivals
1997,1100,Counts,group A Streptococcus,Number of cases and deaths,ALL,Number of deaths
1997,9700,Counts,group A Streptococcus,Number of cases and deaths,ALL,Total cases
1997,3.5,"Per 100,000 population",group A Streptococcus,Case rates,Overall,
1997,3.5,"Per 100,000 population",group A Streptococcus,Case rates,Age,Overall
1997,8.3,"Per 100,000 population",group A Streptococcus,Case rates,Age,<1 year old
1997,3.7,"Per 100,000 population",group A Streptococcus,Case rates,Age,1 years old
1997,2.9,"Per 100,000 population",group A Streptococcus,Case rates,Age,2-4 years old
1997,1.2,"Per 100,000 population",group A Streptococcus,Case rates,Age,5-17 years old
1997,2.1,"Per 100,000 population",group A Streptococcus,Case rates,Age,18-34 years old
1997,3.3,"Per 100,000 population",group A Streptococcus,Case rates,Age,35-49 years old
1997,4.7,"Per 100,000 population",group A Streptococcus,Case rates,Age,50-64 years old
1997,9.2,"Per 100,000 population",group A Streptococcus,Case rates,Age,>=65 years old
1997,3.5,"Per 100,000 population",group A Streptococcus,Case rates,Race,Overall
1997,3.3,"Per 100,000 population",group A Streptococcus,Case rates,Race,White
1997,5.5,"Per 100,000 population",group A Streptococcus,Case rates,Race,Black
1997,2.9,"Per 100,000 population",group A Streptococcus,Case rates,Race,Other races
1997,3.5,"Per 100,000 population",group A Streptococcus,Case rates,Sex,Overall
1997,3.9,"Per 100,000 population",group A Streptococcus,Case rates,Sex,Male
1997,3.2,"Per 100,000 population",group A Streptococcus,Case rates,Sex,Female
1997,0.4,"Per 100,000 population",group A Streptococcus,Death rates,Overall,
1997,0.4,"Per 100,000 population",group A Streptococcus,Death rates,Age,Overall
1997,0,"Per 100,000 population",group A Streptococcus,Death rates,Age,<1 year old
1997,0,"Per 100,000 population",group A Streptococcus,Death rates,Age,1 years old
1997,0,"Per 100,000 population",group A Streptococcus,Death rates,Age,2-4 years old
1997,0,"Per 100,000 population",group A Streptococcus,Death rates,Age,5-17 years old
1997,0.1,"Per 100,000 population",group A Streptococcus,Death rates,Age,18-34 years old
1997,0.3,"Per 100,000 population",group A Streptococcus,Death rates,Age,35-49 years old
1997,0.7,"Per 100,000 population",group A Streptococcus,Death rates,Age,50-64 years old
1997,1.8,"Per 100,000 population",group A Streptococcus,Death rates,Age,>=65 years old
1997,33.7,Percent,group A Streptococcus,Syndromes,Cellulitis,
1997,30,Percent,group A Streptococcus,Syndromes,Bacteremia without focus,
1997,11.3,Percent,group A Streptococcus,Syndromes,Pneumonia,
1997,7.8,Percent,group A Streptococcus,Syndromes,Necrotizing fasciitis,
1997,6,Percent,group A Streptococcus,Syndromes,Streptococcal toxic shock,
1997,0,Percent,group A Streptococcus,Antibiotic resistance,Cefotaxime,
1997,0,Percent,group A Streptococcus,Antibiotic resistance,Clindamycin,
1997,0,Percent,group A Streptococcus,Antibiotic resistance,Erythromycin,
1997,0,Percent,group A Streptococcus,Antibiotic resistance,Penicillin,
1997,0,Percent,group A Streptococcus,Antibiotic resistance,Tetracycline,
1997,0,Percent,group A Streptococcus,Antibiotic resistance,Vancomycin,
1998,8900,Counts,group A Streptococcus,Number of cases and deaths,ALL,Number of survivals
1998,1300,Counts,group A Streptococcus,Number of cases and deaths,ALL,Number of deaths
1998,10200,Counts,group A Streptococcus,Number of cases and deaths,ALL,Total cases
1998,3.8,"Per 100,000 population",group A Streptococcus,Case rates,Overall,
1998,3.8,"Per 100,000 population",group A Streptococcus,Case rates,Age,Overall
1998,7.5,"Per 100,000 population",group A Streptococcus,Case rates,Age,<1 year old
1998,4.6,"Per 100,000 population",group A Streptococcus,Case rates,Age,1 years old
1998,2.8,"Per 100,000 population",group A Streptococcus,Case rates,Age,2-4 years old
1998,1.4,"Per 100,000 population",group A Streptococcus,Case rates,Age,5-17 years old
1998,2.2,"Per 100,000 population",group A Streptococcus,Case rates,Age,18-34 years old
1998,3.6,"Per 100,000 population",group A Streptococcus,Case rates,Age,35-49 years old
1998,4.8,"Per 100,000 population",group A Streptococcus,Case rates,Age,50-64 years old
1998,10,"Per 100,000 population",group A Streptococcus,Case rates,Age,>=65 years old
1998,3.8,"Per 100,000 population",group A Streptococcus,Case rates,Race,Overall
1998,3.2,"Per 100,000 population",group A Streptococcus,Case rates,Race,White
1998,6.7,"Per 100,000 population",group A Streptococcus,Case rates,Race,Black
1998,3.3,"Per 100,000 population",group A Streptococcus,Case rates,Race,Other races
