Year,Value,Units,Bacteria,Topic,ViewBy,ViewBy2
1997,3000,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
1997,400,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
1997,3400,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
1997,1.23,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
1997,1.23,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
1997,5.53,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
1997,4.69,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
1997,0.86,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
1997,0.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
1997,0.46,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
1997,0.74,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
1997,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
1997,4.75,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
1997,1.23,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
1997,1.2,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
1997,1.8,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
1997,0.6,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
1997,1.23,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
1997,1.09,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
1997,1.37,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
1997,0.16,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
1997,0.16,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
1997,0.29,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
1997,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
1997,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
1997,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
1997,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
1997,0.05,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
1997,0.12,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
1997,0.5,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
1997,0.97,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
1997,3.4,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
1997,46.6,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
1997,37.6,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
1997,7,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
1997,9.1,Percent,Haemophilus influenzae,Syndromes,ALL,Other
1997,3.2,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
1998,3400,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
1998,500,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
1998,3900,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
1998,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
1998,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
1998,6.95,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
1998,1.49,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
1998,0.74,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
1998,0.39,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
1998,0.49,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
1998,0.67,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
1998,1.53,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
1998,5.75,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
1998,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
1998,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
1998,1.9,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
1998,0.7,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
1998,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
1998,1.29,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
1998,1.51,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
1998,0.19,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
1998,0.19,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
1998,0.28,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
1998,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
1998,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
1998,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
1998,0.03,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
1998,0.03,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
1998,0.27,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
1998,0.67,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
1998,0.91,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
1998,3.88,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
1998,46.8,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
1998,39.8,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
1998,8.2,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
1998,5.4,Percent,Haemophilus influenzae,Syndromes,ALL,Other
1998,3,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
1999,3009,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
1999,583,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
1999,3592,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
1999,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
1999,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
1999,6.08,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
1999,0.36,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
1999,1.06,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
1999,0.21,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
1999,0.53,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
1999,0.68,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
1999,1.55,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
1999,5.05,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
1999,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
1999,1.2,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
1999,1.5,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
1999,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
1999,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
1999,1.26,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
1999,1.34,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
1999,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
1999,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
1999,0.53,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
1999,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
1999,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
1999,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
1999,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
1999,0.07,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
1999,0.2,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
1999,0.47,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
1999,1.71,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
1999,3.35,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
1999,43.1,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
1999,43.2,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
1999,7.2,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
1999,5.8,Percent,Haemophilus influenzae,Syndromes,ALL,Other
1999,4.4,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
2000,2700,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
2000,700,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
2000,3400,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
2000,1.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
2000,1.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
2000,7.86,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
2000,0.63,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
2000,0.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
2000,0.31,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
2000,0.34,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
2000,0.74,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
2000,1.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
2000,4.87,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
2000,1.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
2000,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
2000,1.5,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
2000,0.2,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
2000,1.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
2000,1.17,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
2000,1.26,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
2000,0.23,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
2000,0.23,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
2000,1.12,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
2000,0.22,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
2000,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
2000,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
2000,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
2000,0.1,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
2000,0.26,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
2000,0.55,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
2000,1.1,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
2000,4.34,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
2000,46.2,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
2000,39,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
2000,6.7,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
2000,5.7,Percent,Haemophilus influenzae,Syndromes,ALL,Other
2000,2.2,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
2001,3175,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
2001,625,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
2001,3800,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
2001,1.33,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
2001,1.33,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
2001,7.82,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
2001,1.17,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
2001,1.46,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
2001,0.33,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
2001,0.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
2001,0.84,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
2001,1.44,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
2001,5.02,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
2001,1.33,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
2001,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
2001,1.7,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
2001,1,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
2001,1.33,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
2001,1.36,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
2001,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
2001,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
2001,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
2001,0.98,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
2001,0.2,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
2001,0.14,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
2001,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
2001,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
2001,0.1,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
2001,0.27,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
2001,0.29,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
2001,1.31,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
2001,3.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
2001,46.6,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
2001,33.9,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
2001,7,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
2001,10.4,Percent,Haemophilus influenzae,Syndromes,ALL,Other
2001,2.9,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
2002,3250,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
2002,600,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
2002,3850,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
2002,1.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
2002,1.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
2002,6.83,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
2002,2.48,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
2002,0.55,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
2002,0.43,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
2002,0.41,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
2002,0.82,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
2002,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
2002,5.18,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
2002,1.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
2002,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
2002,1.6,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
2002,0.9,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
2002,1.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
2002,1.22,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
2002,1.42,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
2002,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
2002,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
2002,0.59,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
2002,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
2002,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
2002,0.03,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
2002,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
2002,0.09,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
2002,0.21,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
2002,0.81,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
2002,0.95,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
2002,3.29,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
2002,51.2,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
2002,33.3,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
2002,8.3,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
2002,6.2,Percent,Haemophilus influenzae,Syndromes,ALL,Other
2002,3.7,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
2003,3175,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
2003,550,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
2003,3725,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
2003,1.27,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
2003,1.27,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
2003,6.57,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
2003,7.67,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
2003,1.15,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
2003,0.41,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
2003,0.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
2003,0.64,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
2003,1.45,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
2003,5.12,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
2003,1.27,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
2003,1.2,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
2003,1.6,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
2003,0.85,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
2003,1.27,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
2003,1.13,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
2003,1.4,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
2003,0.18,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
2003,0.18,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
2003,0.4,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,<1 year old
2003,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,1 year old
2003,0.07,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,2-4 years old
2003,0,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,5-17 years old
2003,0.02,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,18-34 years old
2003,0.05,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,35-49 years old
2003,0.2,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,50-64 years old
2003,0.43,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,65-74 years old
2003,1.28,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,75-84 years old
2003,3,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,>=85 years old
2003,53.9,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia with pneumonia
2003,30.3,Percent,Haemophilus influenzae,Syndromes,ALL,Bacteremia without focus
2003,7.5,Percent,Haemophilus influenzae,Syndromes,ALL,Meningitis
2003,8.8,Percent,Haemophilus influenzae,Syndromes,ALL,Other
2003,0.2,Percent,Haemophilus influenzae,Syndromes,ALL,Unknown
2004,3425,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of survivals
2004,725,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Number of deaths
2004,4150,Counts,Haemophilus influenzae,Number of cases and deaths,ALL,Total cases
2004,1.39,"Per 100,000 population",Haemophilus influenzae,Case rates,Overall,
2004,1.39,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,Overall
2004,8.76,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,<1 year old
2004,1.68,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,1 year old
2004,0.93,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,2-4 years old
2004,0.43,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,5-17 years old
2004,0.38,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,18-34 years old
2004,0.68,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,35-49 years old
2004,1.47,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,50-64 years old
2004,5.6,"Per 100,000 population",Haemophilus influenzae,Case rates,Age,>=65 years old
2004,1.39,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Overall
2004,1.3,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,White
2004,1.6,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Black
2004,2,"Per 100,000 population",Haemophilus influenzae,Case rates,Race,Other races
2004,1.39,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Overall
2004,1.32,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Male
2004,1.46,"Per 100,000 population",Haemophilus influenzae,Case rates,Sex,Female
2004,0.24,"Per 100,000 population",Haemophilus influenzae,Death rates,Overall,
2004,0.24,"Per 100,000 population",Haemophilus influenzae,Death rates,Age,Overall
