Year,Value,Units,Bacteria,Topic,ViewBy,ViewBy2
1997,142.9,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,<1 year old
1997,178.7,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,1 year old
1997,9.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,18-34 years old
1997,31,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,2-4 years old
1997,18.9,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,35-49 years old
1997,23.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,50-64 years old
1997,4.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,5-17 years old
1997,61.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,>=65 years old
1997,23.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,Overall
1997,23.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Overall,
1997,49.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Black
1997,8.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Other races
1997,23.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Overall
1997,19.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,White
1997,4,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,<1 year old
1997,0.9,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,1 year old
1997,0.52,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,18-34 years old
1997,0.15,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,2-4 years old
1997,1.65,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,35-49 years old
1997,2.72,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,50-64 years old
1997,0.14,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,5-17 years old
1997,11.08,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,>=65 years old
1997,2.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,Overall
1997,2.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Overall,
1997,6100,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of deaths
1997,55700,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of survivals
1997,61800,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Total cases
1997,52.5,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia with pneumonia,
1997,39.3,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia without focus,
1997,4.8,Percent,Streptococcus pneumoniae,Syndromes,Meningitis,
1998,6.7,Percent,Streptococcus pneumoniae,Antibiotic resistance,Cefotaxime4,
1998,15.2,Percent,Streptococcus pneumoniae,Antibiotic resistance,Erythromycin,
1998,0.2,Percent,Streptococcus pneumoniae,Antibiotic resistance,Levofloxacin,
1998,3627,Counts,Streptococcus pneumoniae,Antibiotic resistance,Number of isolates,
1998,24.6,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin1,
1998,7.9,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin2,
1998,,Percent,Streptococcus pneumoniae,Antibiotic resistance,Tetracycline3,
1998,29,Percent,Streptococcus pneumoniae,Antibiotic resistance,TMPsulfa,
1998,0,Percent,Streptococcus pneumoniae,Antibiotic resistance,Vancomycin,
1998,165.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,<1 year old
1998,202.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,1 year old
1998,8.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,18-34 years old
1998,36.9,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,2-4 years old
1998,17.9,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,35-49 years old
1998,24.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,50-64 years old
1998,4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,5-17 years old
1998,60.7,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,>=65 years old
1998,24.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,Overall
1998,24.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Overall,
1998,49.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Black
1998,13.7,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Other races
1998,24.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Overall
1998,19.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,White
1998,2.07,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,<1 year old
1998,1.26,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,1 year old
1998,0.35,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,18-34 years old
1998,0,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,2-4 years old
1998,1.96,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,35-49 years old
1998,3.11,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,50-64 years old
1998,0.1,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,5-17 years old
1998,10.08,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,>=65 years old
1998,2.2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,Overall
1998,2.2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Overall,
1998,6100,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of deaths
1998,56900,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of survivals
1998,63000,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Total cases
1998,95.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,All Serotypes
1998,87.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV13 Serotypes
1998,88.5,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV15 Serotypes
1998,90.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV20 Serotypes
1998,15.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,All Serotypes
1998,11.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV13 Serotypes
1998,12.1,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV15 Serotypes
1998,13.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV20 Serotypes
1998,13.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PPSV23 Serotypes
1998,60.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,All Serotypes
1998,44.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV13 Serotypes
1998,48.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV15 Serotypes
1998,54.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV20 Serotypes
1998,52.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PPSV23 Serotypes
1998,53.7,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia with pneumonia,
1998,38.5,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia without focus,
