Common Core
Contact Name,DPH Public Inquiries
Contact Email,PublicInquiriesDPH@cdc.gov
Publisher,Centers for Disease Control and Prevention
Public Access Level,public
References,https://www.cdc.gov/aging/index.html
Issued,7/27/2023
Bureau Code,009:20
Program Code,009:020
Described By,https://chronicdata.cdc.gov/Healthy-Aging/Alzheimer-s-Disease-and-Healthy-Aging-Data/hfr9-rurv
Homepage,https://www.cdc.gov/aging/index.html
Dataset Information
Glossary/Methodology,https://www.cdc.gov/brfss/
Topics
Category,Healthy Aging
Tags,"aging, falls, overall health, fruits and vegetables, vaccines, cognitive health, caregiver, alcohol, screenings, obesity, smoking"
Licensing and Attribution
License,Public Domain
Source Link,https://www.cdc.gov/aging/index.html
