Year,Quarter,Month,HHS_Region,Pathogen,Number_of_isolates,Past_two_years_average
2023,1,1,Region 1 - Boston,Campylobacter,26,16.5
2023,1,2,Region 1 - Boston,Campylobacter,12,10
2023,1,3,Region 1 - Boston,Campylobacter,14,14
2023,2,4,Region 1 - Boston,Campylobacter,29,10.5
2023,2,5,Region 1 - Boston,Campylobacter,22,14.5
2023,2,6,Region 1 - Boston,Campylobacter,50,45
2023,3,7,Region 1 - Boston,Campylobacter,59,48
2023,3,8,Region 1 - Boston,Campylobacter,72,36
2023,3,9,Region 1 - Boston,Campylobacter,36,25
2023,4,10,Region 1 - Boston,Campylobacter,24,33
2023,4,11,Region 1 - Boston,Campylobacter,31,16.5
2023,4,12,Region 1 - Boston,Campylobacter,22,17.5
2024,1,1,Region 1 - Boston,Campylobacter,17,15.5
2024,1,2,Region 1 - Boston,Campylobacter,24,10.5
2024,1,3,Region 1 - Boston,Campylobacter,16,14.5
2024,2,4,Region 1 - Boston,Campylobacter,38,18
2024,2,5,Region 1 - Boston,Campylobacter,24,16.5
2024,2,6,Region 1 - Boston,Campylobacter,49,44.5
2024,3,7,Region 1 - Boston,Campylobacter,61,47
2024,3,8,Region 1 - Boston,Campylobacter,40,52.5
2024,3,9,Region 1 - Boston,Campylobacter,39,31
2024,4,10,Region 1 - Boston,Campylobacter,24,28
2024,4,11,Region 1 - Boston,Campylobacter,21,24
2024,4,12,Region 1 - Boston,Campylobacter,22,21.5
2023,1,1,Region 1 - Boston,STEC,16,7.5
2023,1,2,Region 1 - Boston,STEC,12,8.5
2023,1,3,Region 1 - Boston,STEC,14,13.5
2023,2,4,Region 1 - Boston,STEC,19,18
2023,2,5,Region 1 - Boston,STEC,22,21
2023,2,6,Region 1 - Boston,STEC,20,24.5
2023,3,7,Region 1 - Boston,STEC,38,27.5
2023,3,8,Region 1 - Boston,STEC,33,18.5
2023,3,9,Region 1 - Boston,STEC,14,18.5
2023,4,10,Region 1 - Boston,STEC,21,17
2023,4,11,Region 1 - Boston,STEC,7,18.5
2023,4,12,Region 1 - Boston,STEC,10,10
2024,1,1,Region 1 - Boston,STEC,10,11
2024,1,2,Region 1 - Boston,STEC,17,12.5
2024,1,3,Region 1 - Boston,STEC,17,11.5
2024,2,4,Region 1 - Boston,STEC,18,17.5
2024,2,5,Region 1 - Boston,STEC,18,24
2024,2,6,Region 1 - Boston,STEC,27,23.5
2024,3,7,Region 1 - Boston,STEC,33,29
2024,3,8,Region 1 - Boston,STEC,24,25
2024,3,9,Region 1 - Boston,STEC,18,15.5
2024,4,10,Region 1 - Boston,STEC,25,19
2024,4,11,Region 1 - Boston,STEC,16,15
2024,4,12,Region 1 - Boston,STEC,13,10
2023,1,1,Region 1 - Boston,Salmonella,101,76
2023,1,2,Region 1 - Boston,Salmonella,96,63
2023,1,3,Region 1 - Boston,Salmonella,79,81
2023,2,4,Region 1 - Boston,Salmonella,140,120.5
2023,2,5,Region 1 - Boston,Salmonella,265,145
2023,2,6,Region 1 - Boston,Salmonella,225,172.5
2023,3,7,Region 1 - Boston,Salmonella,256,248.5
2023,3,8,Region 1 - Boston,Salmonella,271,246
2023,3,9,Region 1 - Boston,Salmonella,216,217
2023,4,10,Region 1 - Boston,Salmonella,192,146
2023,4,11,Region 1 - Boston,Salmonella,132,115
2023,4,12,Region 1 - Boston,Salmonella,119,85.5
2024,1,1,Region 1 - Boston,Salmonella,121,89.5
2024,1,2,Region 1 - Boston,Salmonella,116,82
2024,1,3,Region 1 - Boston,Salmonella,102,84.5
2024,2,4,Region 1 - Boston,Salmonella,134,130
2024,2,5,Region 1 - Boston,Salmonella,169,213
2024,2,6,Region 1 - Boston,Salmonella,188,192
2024,3,7,Region 1 - Boston,Salmonella,306,259
2024,3,8,Region 1 - Boston,Salmonella,255,272.5
2024,3,9,Region 1 - Boston,Salmonella,236,221.5
2024,4,10,Region 1 - Boston,Salmonella,172,170
2024,4,11,Region 1 - Boston,Salmonella,138,130
2024,4,12,Region 1 - Boston,Salmonella,60,105
2023,1,1,Region 1 - Boston,Shigella,21,7
2023,1,2,Region 1 - Boston,Shigella,19,13.5
2023,1,3,Region 1 - Boston,Shigella,24,16
2023,2,4,Region 1 - Boston,Shigella,34,16
2023,2,5,Region 1 - Boston,Shigella,29,10
2023,2,6,Region 1 - Boston,Shigella,33,17.5
2023,3,7,Region 1 - Boston,Shigella,40,21
2023,3,8,Region 1 - Boston,Shigella,30,26
2023,3,9,Region 1 - Boston,Shigella,29,15
2023,4,10,Region 1 - Boston,Shigella,19,31.5
2023,4,11,Region 1 - Boston,Shigella,22,30.5
2023,4,12,Region 1 - Boston,Shigella,16,22
2024,1,1,Region 1 - Boston,Shigella,37,15
2024,1,2,Region 1 - Boston,Shigella,39,17.5
2024,1,3,Region 1 - Boston,Shigella,41,22.5
2024,2,4,Region 1 - Boston,Shigella,29,25
2024,2,5,Region 1 - Boston,Shigella,29,19.5
2024,2,6,Region 1 - Boston,Shigella,30,24
2024,3,7,Region 1 - Boston,Shigella,28,28.5
2024,3,8,Region 1 - Boston,Shigella,24,28.5
2024,3,9,Region 1 - Boston,Shigella,35,23
2024,4,10,Region 1 - Boston,Shigella,36,30
2024,4,11,Region 1 - Boston,Shigella,24,29
2024,4,12,Region 1 - Boston,Shigella,12,20.5
2023,1,1,Region 1 - Boston,Vibrio,1,0
2023,1,2,Region 1 - Boston,Vibrio,0,0
2023,1,3,Region 1 - Boston,Vibrio,2,0
2023,2,4,Region 1 - Boston,Vibrio,1,0
2023,2,5,Region 1 - Boston,Vibrio,4,0
2023,2,6,Region 1 - Boston,Vibrio,2,1.5
2023,3,7,Region 1 - Boston,Vibrio,23,19
2023,3,8,Region 1 - Boston,Vibrio,19,20
2023,3,9,Region 1 - Boston,Vibrio,11,14.5
2023,4,10,Region 1 - Boston,Vibrio,2,8.5
2023,4,11,Region 1 - Boston,Vibrio,2,2
2023,4,12,Region 1 - Boston,Vibrio,3,0
2024,1,1,Region 1 - Boston,Vibrio,0,0.5
2024,1,2,Region 1 - Boston,Vibrio,0,0.5
2024,1,3,Region 1 - Boston,Vibrio,0,3.5
2024,2,4,Region 1 - Boston,Vibrio,2,1
2024,2,5,Region 1 - Boston,Vibrio,2,2
2024,2,6,Region 1 - Boston,Vibrio,11,1.5
2024,3,7,Region 1 - Boston,Vibrio,18,18.5
2024,3,8,Region 1 - Boston,Vibrio,18,21
2024,3,9,Region 1 - Boston,Vibrio,7,12.5
2024,4,10,Region 1 - Boston,Vibrio,1,3.5
2024,4,11,Region 1 - Boston,Vibrio,2,2.5
2024,4,12,Region 1 - Boston,Vibrio,1,1.5
