Common Core
Contact Name,SIMSO
Contact Email,simso@cdc.gov
Publisher,CDC
Public Access Level,public
Bureau Code,009:20
Program Code,009:028
Geographic Coverage,US
Update Frequency,Annually
Homepage,https://www.cdc.gov/ncezid/dfwed/beam-dashboard.html
Data Quality
Suggested Citation,"Centers for Disease Control and Prevention (CDC). BEAM (Bacteria, Enterics, Amoeba, and Mycotics) Dashboard. Atlanta, Georgia: U.S. Department of Health and Human Services. www.cdc.gov/ncezid/dfwed/BEAM-dashboard.html. Accessed MM/DD/YYYY."
Topics
Category,"Foodborne, Waterborne, and Related Diseases"
Tags,"beam, beam dashboard, salmonella, escherichia, campylobacteriosis"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.usa.gov/government-works
