Common Core
Contact Name,OSHData Support
Contact Email,nccdoshinquiries@cdc.gov
Publisher,Centers for Disease Control and Prevention
Public Access Level,public
References,https://chronicdata.cdc.gov/d/5amh-5sx3
Issued,7/27/2023
Bureau Code,009:20
Program Code,009:020
Described By,https://chronicdata.cdc.gov/Survey-Data/Behavioral-Risk-Factor-Data-Tobacco-Use-2010-And-P/fpp2-pp25
Homepage,https://www.cdc.gov/statesystem/index.html
Dataset Information
Glossary/Methodology,https://chronicdata.cdc.gov/d/5amh-5sx3
Topics
Category,Survey Data
Tags,"osh, office on smoking and health, state system, tobacco, survey, behavioral, risk, surveillance, tobacco use, cigarette, cigarette use, adult, smoking, smoking status, smoker, current, former, never, ever, frequency, every day, some days, demographics, age, gender, race, ethnicity, education, cessation, quit, prevalence"
Licensing and Attribution
License,Open Data Commons Attribution License
Source Link,http://www.cdc.gov/brfss/
