Common Core
Contact Name,DPH Public Inquiries
Contact Email,PublicInquiriesDPH@cdc.gov
Publisher,Centers for Disease Control and Prevention
Public Access Level,public
References,https://www.cdc.gov/brfss/
Issued,07/27/2023
Bureau Code,009:20
Program Code,009:020
Described By,https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct
Homepage,https://www.cdc.gov/brfss/
Topics
Category,Behavioral Risk Factors
Tags,"questions, survey, brfss, behavioral, risk, factor, surveillance, system"
Licensing and Attribution
License,Public Domain
Source Link,http://www.cdc.gov/BRFSS/
