YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Category,Question,Response,Age,Gender,RaceEthnicity,RiskFactor,RiskFactorResponse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Numerator,Sample_Size,LocationID,TopicID,CategoryID,QuestionID,ResponseID,DataValueTypeID,AgeID,GenderID,RaceEthnicityID,RiskFactorID,RiskFactorResponseID,Geolocation,Geographic Level,NonWeightedSample,WeightedSample
2013,2013,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,Male,All races,Diabetes,Yes,%,Crude Prevalence,10.1,,,9.38,10.9,,1245000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GM,ALLRACE,RFDM,RFYES,,,,
2013,2013,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,Female,All races,Diabetes,Yes,%,Age-adjusted Prevalence,12.7,,,11.5,14,,1690000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GF,ALLRACE,RFDM,RFYES,,,,
2018,2018,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,Female,All races,Smoking,No,%,Crude Prevalence,5.2,,,4.97,5.45,,5774000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GF,ALLRACE,RFSM,RFNO,,,,
2018,2018,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,All genders,Other,Smoking,Yes,%,Age-adjusted Prevalence,12.9,,,10.5,15.6,,122000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GALL,OTH,RFSM,RFYES,,,,
2013,2013,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,Female,All races,Diabetes,No,%,Crude Prevalence,4.59,,,4.41,4.78,,5117000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GF,ALLRACE,RFDM,RFNO,,,,
2016,2016,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,Female,All races,Smoking,No,%,Age-adjusted Prevalence,4.23,,,4.05,4.42,,4815000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GF,ALLRACE,RFSM,RFNO,,,,
2017,2017,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,Female,All races,Smoking,Yes,%,Age-adjusted Prevalence,9.42,,,8.78,10.1,,1669000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GF,ALLRACE,RFSM,RFYES,,,,
2018,2018,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,All genders,Other,Diabetes,Yes,%,Age-adjusted Prevalence,11.7,,,9.09,15,,87000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GALL,OTH,RFDM,RFYES,,,,
2018,2018,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,All genders,Asian,Smoking,Yes,%,Age-adjusted Prevalence,,#,Value suppressed,,,,,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GALL,ASN,RFSM,RFYES,,,,
2016,2016,US,National,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,All genders,Other,Smoking,Yes,%,Age-adjusted Prevalence,8.92,,,7.03,11.3,,94000,59,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GALL,OTH,RFSM,RFYES,,,,
2018,2018,NM,New Mexico,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,All ages,All genders,All races,Diabetes,No,%,Age-adjusted Prevalence,6.08,,,5.14,7.18,,81000,35,TVFUNC,CBLIND,BRVPGL,RYES,,AGEALL,GALL,ALLRACE,RFDM,RFNO,POINT (-106 34.5999756),,,
2015,2015,HI,Hawaii,BRFSS,Visual Function,Blind or Difficulty Seeing,Percentage of people who are blind or have serious difficulty seeing even when wearing glasses,Yes,40-64 years,All genders,All races,All participants,All participants,%,Crude Prevalence,4.53,,,3.58,5.71,,20000,15,TVFUNC,CBLIND,BRVPGL,RYES,,AGE4064,GALL,ALLRACE,RFAPAR,RFALLPAR2,POINT (-157 21),,,
