Table,Select Setting,Value type,Geography,Select Measure,Levels of Measure,Value,SE,Low 95% CI,High 95% CI,Footnote-Value cell,Footnote-Measure Subscript
1,Adult Day Services Center,Number,Alabama,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Alabama,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Alabama,Number of providers,Number of providers,269.1,1.7,265.7,272.4,,
1,Residential Care Community,Number,Alabama,Capacity,Total licensed maximum capacity or total number of beds,10210.4,459,9310.6,11110.3,,1
1,Residential Care Community,Number,Alabama,Capacity,Average licensed maximum capacity or average number of beds,37.9,1.8,34.4,41.5,,1
1,Residential Care Community,Number,Alabama,Number of people served,Daily average,23.3,1.4,20.6,26,,2
1,Residential Care Community,Percent,Alabama,Number of people served,Category 1,,,,,*,3
1,Residential Care Community,Percent,Alabama,Number of people served,Category 2,,,,,*,3
1,Residential Care Community,Percent,Alabama,Number of people served,Category 3,,,,,*,3
1,Residential Care Community,Percent,Alabama,US Census region,Northeast,,,,,...,
1,Residential Care Community,Percent,Alabama,US Census region,Midwest,,,,,...,
1,Residential Care Community,Percent,Alabama,US Census region,South,100,,,,,
1,Residential Care Community,Percent,Alabama,US Census region,West,,,,,...,
1,Residential Care Community,Percent,Alabama,Metropolitan statistical area status,Metropolitan,67.5,4.1,59,75,,
1,Residential Care Community,Percent,Alabama,Metropolitan statistical area status,Micropolitan,19.7,3.5,13.6,27.5,,
1,Residential Care Community,Percent,Alabama,Metropolitan statistical area status,Neither,12.8,3,8,19.8,,
1,Residential Care Community,Percent,Alabama,Ownership,For-profit,79.8,3.5,72,85.8,,
1,Residential Care Community,Percent,Alabama,Ownership,Nonprofit,20.2,3.5,14.2,28,,
1,Residential Care Community,Percent,Alabama,Ownership,Government and other,,,,,-,
1,Residential Care Community,Percent,Alabama,Certification,Medicare,,,,,---,
1,Residential Care Community,Percent,Alabama,Certification,Medicaid,,,,,*,
1,Residential Care Community,Percent,Alabama,Chain affiliated,Chain affiliated,70.7,4,62.3,77.9,,
2,Residential Care Community,Number,Alabama,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,4536.1,362.2,3825.9,5246.2,,
2,Residential Care Community,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,10.6,1.7,7.4,13.9,,
2,Residential Care Community,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,22.2,1.8,18.7,25.8,,
2,Residential Care Community,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,Aide,67,2.2,62.6,71.4,,
