as_of,disease,state,date,median,lower,upper,interval_width,p_growing,category,BuildNumber
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/09/2024 12:00:00 AM,0.9628,0.8868,1.052,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/10/2024 12:00:00 AM,0.9629,0.8928,1.0446,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/11/2024 12:00:00 AM,0.9631,0.8984,1.0366,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/12/2024 12:00:00 AM,0.9636,0.904,1.0291,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/13/2024 12:00:00 AM,0.9637,0.9089,1.0226,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/14/2024 12:00:00 AM,0.9643,0.9137,1.0189,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/15/2024 12:00:00 AM,0.9642,0.9167,1.0157,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/16/2024 12:00:00 AM,0.9644,0.9204,1.0093,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/17/2024 12:00:00 AM,0.9641,0.9234,1.0048,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/18/2024 12:00:00 AM,0.9638,0.9251,1.0011,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/19/2024 12:00:00 AM,0.964,0.9275,0.9979,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/20/2024 12:00:00 AM,0.9639,0.9298,0.9962,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/21/2024 12:00:00 AM,0.964,0.9313,0.9949,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/22/2024 12:00:00 AM,0.964,0.932,0.9939,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/23/2024 12:00:00 AM,0.964,0.9325,0.9923,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/24/2024 12:00:00 AM,0.9635,0.9327,0.9918,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/25/2024 12:00:00 AM,0.9637,0.9321,0.9914,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/26/2024 12:00:00 AM,0.9641,0.9321,0.9913,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/27/2024 12:00:00 AM,0.9643,0.9302,0.9919,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
12/03/2024 12:00:00 AM,COVID-19,Alabama,10/28/2024 12:00:00 AM,0.9651,0.93,0.9918,0.95,0.7965,Likely Growing,12/06/2024 09:39:44 PM
