YEAR,Quarter,LocationAbbr,LocationDesc,TopicTypeDesc,TopicDesc,MeasureDesc,Smokefree_Indoor_Air,Youth_Access,Licensure,Preemption,PreemptionAltValue,GeoLocation,TopicTypeId,TopicId,MeasureId
2012,2,MT,Montana,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-109.424420645 47.066528972),LEG,1046,1046COMB
2008,2,AS,American Samoa,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-170.6961815 -14.3016396),LEG,1046,1046COMB
2007,4,CA,California,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-120.999999538 37.638640123),LEG,1046,1046COMB
2018,2,OK,Oklahoma,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-97.521070214 35.472031356),LEG,1046,1046COMB
2015,3,GU,Guam,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (144.793731 13.444304),LEG,1046,1046COMB
2008,3,SD,South Dakota,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-100.373530637 44.353130053),LEG,1046,1046COMB
2007,1,IN,Indiana,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.149960194 39.766910452),LEG,1046,1046COMB
2001,4,NJ,New Jersey,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-74.273691288 40.130570048),LEG,1046,1046COMB
2025,1,WA,Washington,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-120.47001079 47.522278629),LEG,1046,1046COMB
2022,3,OH,Ohio,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-82.404260056 40.060210141),LEG,1046,1046COMB
2010,4,PW,Palau,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (134.58252 7.51498),LEG,1046,1046COMB
2006,3,ID,Idaho,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-114.363730042 43.682630005),LEG,1046,1046COMB
2002,4,DE,Delaware,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-75.577741168 39.008830667),LEG,1046,1046COMB
2020,3,HI,Hawaii,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-157.857749403 21.304850435),LEG,1046,1046COMB
2009,3,AL,Alabama,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.631860762 32.840571122),LEG,1046,1046COMB
2006,4,MO,Missouri,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-92.566300053 38.635790776),LEG,1046,1046COMB
2012,2,NC,North Carolina,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-79.159250463 35.466220975),LEG,1046,1046COMB
2007,3,OR,Oregon,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-120.155031326 44.567449424),LEG,1046,1046COMB
2012,3,PR,Puerto Rico,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-66.590149 18.220833),LEG,1046,1046COMB
2011,2,RI,Rhode Island,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-71.522470314 41.708280193),LEG,1046,1046COMB
2017,3,AL,Alabama,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.631860762 32.840571122),LEG,1046,1046COMB
2018,2,ME,Maine,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-68.985031336 45.254228894001),LEG,1046,1046COMB
2014,1,NE,Nebraska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-99.365720623 41.641040988001),LEG,1046,1046COMB
2018,3,GU,Guam,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (144.793731 13.444304),LEG,1046,1046COMB
