Unnamed Column,unique_key,_airbyte_ab_id,_airbyte_emitted_at,UMBRELLA_ACCOUNTING_ID,INDIVIDUAL_POSITIVITY,TOTAL_PARTICIPANTS,TOTAL_POSITIVE_INDIVIDUALS,WEEK_OF_COLLECTION_LOCAL,WHO_REGION
0,21a51cf673978d6a7d354a1ec26d322f,abf0c488-740c-43f1-8152-d9d89debadfc,1737651605969,699,3.3,5550,163,12/17/2023 12:00:00 AM,all_regions
1,c75f20d773bc09356ccc58c6cd8121f7,4196ad51-8b71-4300-a33b-ea93e787dfbb,1737651605969,699,2.9,5581,157,11/26/2023 12:00:00 AM,all_regions
2,cf55c87d559ffa20814132284e8e28e5,ea4998d7-84e1-476d-84d9-c7290b2c0a11,1737651605969,699,2.8,6076,158,08/27/2023 12:00:00 AM,all_regions
3,ae4ca1ab1ea8c8f6edb86430fb746d8f,0fbd7dc5-84b1-4c25-a414-04e55b2664a1,1737651605969,699,5.1,9495,480,07/07/2024 12:00:00 AM,all_regions
4,8847f045453b2a4c9081b808624dcdb8,d5149ae7-a0bb-47c0-a4d7-6e3d24f63175,1737651605969,699,2.6,4302,113,09/29/2024 12:00:00 AM,all_regions
5,eca2e982d6993035d1b7f9eae3e91b39,0a1188a5-511d-4eb5-9bbb-d4c29b3080e4,1737651605969,699,1.5,3921,58,12/29/2024 12:00:00 AM,all_regions
6,2e8a63bcecd60ffbdb23c290a2e27424,6b513d69-412f-4125-b6b1-602ac1c18e95,1737651605969,699,5,5453,254,12/31/2023 12:00:00 AM,all_regions
7,741962027ca7d8d7c41eb1c88c813752,e18338d0-2cab-4d3f-adef-2921dbf8dccb,1737651605969,699,3.3,6135,192,10/08/2023 12:00:00 AM,all_regions
8,20ba08489d857f3d08cd294a756f5790,7ff59509-87b6-443e-96b7-29dcb728eb02,1737651605969,699,1.1,4137,44,11/03/2024 12:00:00 AM,all_regions
9,74f93f37f3206b7926cdd8d73b035b50,5ecfeba0-18d6-48d3-b666-1c83e1deaf73,1737651605969,699,0.7,4187,29,12/01/2024 12:00:00 AM,all_regions
10,95e260e533fc8004cf6079b250e91e56,bec60347-a272-4093-a36f-6555c701f43f,1737651605969,699,2.7,5087,132,03/05/2023 12:00:00 AM,all_regions
11,9d82b3d7b2258d992b354919a740610d,9d812e67-a145-47f2-9b0b-448f8484525f,1737651605969,699,2.7,4053,107,09/01/2024 12:00:00 AM,all_regions
12,54c272cd8af65417ee7ff8f3b9af6e5e,b7d29afa-541a-4f40-b2ad-eedad96b641d,1737651605969,699,1.4,6670,95,03/24/2024 12:00:00 AM,all_regions
13,e63dc21a78ce11a13e37da4be422202b,baca34dd-9264-4081-a10a-f535b57aebfe,1737651605969,699,1.7,8932,147,06/18/2023 12:00:00 AM,all_regions
14,cba8ed56f374cfe1fbac4e19c4a5bba8,9a1a1410-51bb-4a62-b745-9bd06d0a9541,1737651605969,699,4.6,6409,289,08/04/2024 12:00:00 AM,all_regions
15,7f8105079ae972a809c8c80ccfc49450,24e42c11-1e4a-4cf0-b5c4-6c29c7b7c99d,1737651605969,699,1.5,5822,84,11/12/2023 12:00:00 AM,all_regions
16,4ad9e08975cd4d93b2d9da53593b240a,f904b48a-f9b9-4a73-8e96-8c7d3948620f,1737651605969,699,5.2,7678,385,07/14/2024 12:00:00 AM,all_regions
17,6e15cda181950105f4dd6c87d615e1b0,2fc58b6a-50c8-43a8-b936-cf64058dc471,1737651605969,699,3.4,10692,344,06/09/2024 12:00:00 AM,all_regions
18,599bc6113d420efd3d0850fb61aaaeb2,9eb25733-02a9-42a4-86bf-bbb907fd7df9,1737651605969,699,3.3,6321,196,09/17/2023 12:00:00 AM,all_regions
19,6a26b1a6cdddb3e1bd06819e416eca7e,3709c9c8-96a4-4d6e-a1f3-ac5a9aac80c3,1737651605969,699,2.3,7337,165,04/21/2024 12:00:00 AM,all_regions
20,2bc77b75c8e1557c653557bff75b3640,28270781-f3f5-4c19-b22f-58df2cb7f886,1737651605969,699,0.7,4249,29,12/08/2024 12:00:00 AM,all_regions
21,20e6e9f9f4083d3ca973054963b0723a,b06267db-8a19-4a23-9153-53dba120d3da,1737651605969,699,2.4,6839,162,03/03/2024 12:00:00 AM,all_regions
22,84338de31e4c760a1beced1431e93bee,4874eb9e-f372-4b8b-9046-342cd0ad97cf,1737651605969,699,2.9,6617,181,09/10/2023 12:00:00 AM,all_regions
23,cbaa35f67750d0cb9feb3fe1fca7a22b,d31ce6b8-4789-4d35-9515-e5e63cf85fc5,1737651605969,699,2.9,6172,173,10/15/2023 12:00:00 AM,all_regions
24,e1d495a68403ef149ff4fdadeed211b6,e4463eea-44bd-4847-804f-1c98a1a9a83a,1737651605969,699,2,5836,113,11/05/2023 12:00:00 AM,all_regions
25,4bc6089386c390dcc2fd22944f53ccf0,8f666c88-7f81-47b2-9c1f-f8c5a7d28674,1737651605969,699,3.1,7678,240,04/09/2023 12:00:00 AM,all_regions
26,dccf852a2b6061af33cc77ca53e1819f,67ee7cd6-2c52-43da-a431-ad8d4c788084,1737651605969,699,1.7,5126,80,11/19/2023 12:00:00 AM,all_regions
27,0ee06d58a4c5c178397b1f308e71f85a,2438c384-164f-4555-98ea-5c4cc0c716c1,1737651605969,699,2.9,12025,333,05/26/2024 12:00:00 AM,all_regions
28,c1ce6a036f43f566b12d79485af241a9,f93ace88-dd9e-4220-bb05-f2ad6b603d74,1737651605969,699,2.2,9321,197,06/04/2023 12:00:00 AM,all_regions
29,d5515aa265fc1d81e6513b4d6249ac03,228cfe44-12f2-4333-bacd-38a47596b30f,1737651605969,699,2.2,7057,145,02/18/2024 12:00:00 AM,all_regions
