Unnamed Column,WEEK_OF_COLLECTION_LOCAL,XBB.1.16.1,XBB.1.5.1,BA.5,BA.2.75,XBB.1.5,XEC,FE.1.1,HK.3,XBB.1.5.59,JN.1.16,XBB.1.9.2,BQ.1.1,HV.1,JN.1,KP.3.1.1,XBB.1.5.10,EG.5,BN.1,XBB.1.16.6,BF.7,BQ.1,BA.2.86,KP.2.3,BA.5.2.6,EG.6.1,XBB.2.3,XBB.1.5.72,EU.1.1,B.1.1.529,XBB.1.16,FL.1.5.1,XBB.1.5.70,CH.1.1,GE.1,KP.2,KP.3,FD.2,Other,XBB.1.16.11,XBB.1.9.1,XBB,BA.2,LB.1
0,08/13/2023 12:00:00 AM,1.6,,,,4.7,,,,,,1.6,,,,,,39.5,,3.1,,,,,,2.3,7.8,1.6,,,13.2,8.5,3.9,,1.6,,,,,,5.4,5.4,,
1,11/05/2023 12:00:00 AM,,,,,11.3,,,12.7,,,,,18.3,19.7,,,12.7,,,,,4.2,,,,,1.4,,,4.2,1.4,1.4,1.4,2.8,,,,,1.4,2.8,2.8,1.4,
2,12/10/2023 12:00:00 AM,,,,,4.5,,,5.6,,,,,,74.2,,,4.5,,1.1,,,5.6,,,,1.1,,,,1.1,,,,,,,,,,1.1,1.1,,
3,06/25/2023 12:00:00 AM,1.1,,,,19.6,,,,,,7.6,,,,,3.3,13,1.1,,,2.2,,,,,10.9,,,,18.5,1.1,,1.1,2.2,,,1.1,,,13,4.3,,
4,10/29/2023 12:00:00 AM,,,,,6.2,,,7.4,,,,,8.6,7.4,,,18.5,,3.7,,,11.1,,,,7.4,,,,3.7,3.7,8.6,,1.2,,,,1.2,,8.6,2.5,,
5,06/02/2024 12:00:00 AM,,,,,,,,,,13.5,,,,26.9,,,,,,,,,9.8,,,,,,3.3,,,,,,12,23.3,,,,,,,11.3
6,02/25/2024 12:00:00 AM,,,,,,,,,,,,,,93.1,,,,,,,,1.7,,,,,,,5.2,,,,,,,,,,,,,,
7,07/28/2024 12:00:00 AM,,,,,,,,,,3.4,,,,14.8,32.7,,,,,,,,18.3,,,,,,1.9,,,,,,3.8,13.3,,,,,,,11.8
8,06/18/2023 12:00:00 AM,6.9,,,,26.5,,2,,,,3.9,,,,,,5.9,1,1,,,,,,,8.8,,1,,12.7,2,,1,1,,,,2,,14.7,9.8,,
9,09/03/2023 12:00:00 AM,,,,,2.2,,,5.4,,,1.1,,5.4,,,,38,,5.4,,1.1,,,,,7.6,1.1,,,6.5,10.9,3.3,3.3,2.2,,,,1.1,,4.3,1.1,,
10,09/24/2023 12:00:00 AM,,,,,5.2,,,9.1,,,0.6,,8.4,0.6,,,32.5,,7.1,,,,,,1.3,4.5,,,,7.8,4.5,5.8,2.6,3.9,,,,0.6,1.3,1.3,2.6,,
