UniqueID,EventName,EventType,State,DistrictName,DistrictNCESID,SchoolName,SchoolNCESID,Type,Year,DateClosure,DateReopened,Epi_week,ConfirmedCase,LCStudent,LCStaff,LCHHMStudent,LCHHMStaff,LCVisitor,SuspectedCase,SCStudent,SCStaff,SCHHMStudent,SCHHMStaff,SCVisitor,AbsentStudents,AbsentStaff,Cluster,Widespread,Clean,Mandate,Recommendation,TSCOVID,MentalHealth,Vaccination,Side_effects_of_vaccination,OtherReason,Specify_other_reason
AK202090001D,COVID-19,COVID-19,AK,Petersburg Borough School District,0200660,,,D,2020,10/27/2020 12:00:00 AM,10/29/2020 12:00:00 AM,44,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
AK202090001S,COVID-19,COVID-19,AK,,0200510,Fred and Sara Machetanz Elementary School,020051000741,I,2020,08/28/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
AK202090002D,COVID-19,COVID-19,AK,Matanuska-susitna Borough School District,0200510,,,D,2020,11/23/2020 12:00:00 AM,11/30/2020 12:00:00 AM,48,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,,,false,false,true,allow for contact tracing
AK202090002S,COVID-19,COVID-19,AK,,0200510,Pioneer Peak Elementary,020051000565,I,2020,09/01/2020 12:00:00 AM,09/03/2020 12:00:00 AM,36,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
AK202090003D,COVID-19,COVID-19,AK,Unalaska City School District,0200720,,,D,2020,12/02/2020 12:00:00 AM,01/04/2021 12:00:00 AM,49,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,false,false,false,
AK202090003S,COVID-19,COVID-19,AK,,0200510,Colony Middle School,020051000719,I,2020,09/01/2020 12:00:00 AM,09/08/2020 12:00:00 AM,36,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
AK202090004D,COVID-19,COVID-19,AK,Klawock City School District,0200450,,,D,2020,12/07/2020 12:00:00 AM,01/04/2021 12:00:00 AM,50,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
AK202090004S,COVID-19,COVID-19,AK,,0200510,Colony High School,020051000711,I,2020,09/01/2020 12:00:00 AM,09/08/2020 12:00:00 AM,36,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
AK202090005D,COVID-19,COVID-19,AK,Craig City School District,0200090,,,D,2020,11/30/2020 12:00:00 AM,12/14/2020 12:00:00 AM,49,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,false,false,false,
AK202090005S,COVID-19,COVID-19,AK,,0200510,Butte Elementary,020051000724,I,2020,09/23/2020 12:00:00 AM,09/24/2020 12:00:00 AM,39,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,
