Date,Category,Location,Booster_Eligible,Booster_Eligible_NotBoosted,Booster_Eligible_Boosted_Pct,Booster_Eligible_NotBoosted_Pct,Booster_Eligible_US_Pct,Booster_Eligible_12Plus,Booster_Eligible_NotBoosted_12Plus,Booster_Eligible_Boosted_12Plus_Pct,Booster_Eligible_NotBoosted_12Plus_Pct,Booster_Eligible_US_12Plus_Pct,Booster_Eligible_18Plus,Booster_Eligible_NotBoosted_18Plus,Booster_Eligible_Boosted_18Plus_Pct,Booster_Eligible_NotBoosted_18Plus_Pct,Booster_Eligible_US_18Plus_Pct,Booster_Eligible_50Plus,Booster_Eligible_NotBoosted_50Plus,Booster_Eligible_Boosted_50Plus_Pct,Booster_Eligible_NotBoosted_50Plus_Pct,Booster_Eligible_US_50Plus_Pct,Booster_Eligible_65Plus,Booster_Eligible_NotBoosted_65Plus,Booster_Eligible_Boosted_65Plus_Pct,Booster_Eligible_NotBoosted_65Plus_Pct,Booster_Eligible_US_65Plus_Pct
05/10/2023 12:00:00 AM,Race_eth_unknown,US,44843766,22812534,49.1,50.9,21.3,43445025,21597935,50.3,49.7,21.6,41581769,20392805,51,49,22.2,21553152,8538655,60.4,39.6,22.2,10332385,3528224,65.9,34.1,21.5
05/10/2023 12:00:00 AM,Race_eth_NHMultiracial,US,1947253,885865,54.5,45.5,0.9,1746762,716693,59,41,0.9,1470335,562637,61.7,38.3,0.8,653248,164441,74.8,25.2,0.7,325319,68587,78.9,21.1,0.7
05/10/2023 12:00:00 AM,Race_eth_NHAsian,US,11582342,4538175,60.8,39.2,5.5,10720217,3807689,64.5,35.5,5.3,9777024,3401912,65.2,34.8,5.2,3821969,1022293,73.3,26.7,3.9,1606018,369322,77,23,3.3
05/10/2023 12:00:00 AM,Race_eth_NHBlack,US,17112882,9321230,45.5,54.5,8.1,16394368,8673872,47.1,52.9,8.1,15026483,7699942,48.8,51.2,8,7531226,2774388,63.2,36.8,7.7,3172386,952439,70,30,6.6
05/10/2023 12:00:00 AM,Race_eth_NHMult_Oth,US,8179012,3853827,52.9,47.1,3.9,7664590,3416161,55.4,44.6,3.8,6908754,2978726,56.9,43.1,3.7,3318933,1060135,68.1,31.9,3.4,1665653,451941,72.9,27.1,3.5
05/10/2023 12:00:00 AM,Race_eth_NHOther,US,6231759,2967962,52.4,47.6,3,5917828,2699468,54.4,45.6,2.9,5438419,2416089,55.6,44.4,2.9,2665685,895694,66.4,33.6,2.7,1340334,383354,71.4,28.6,2.8
05/10/2023 12:00:00 AM,Total_Population,US,210132053,100858607,52,48,100,201235345,93141558,53.7,46.3,100,187313973,84657760,54.8,45.2,100,97202615,33679534,65.4,34.6,100,48124670,14003713,70.9,29.1,100
05/10/2023 12:00:00 AM,Race_eth_known,US,165288287,78046073,52.8,47.2,78.7,157790320,71543623,54.7,45.3,78.4,145732204,64264955,55.9,44.1,77.8,75649463,25140879,66.8,33.2,77.8,37792285,10475489,72.3,27.7,78.5
05/10/2023 12:00:00 AM,Race_eth_NHWhite,US,96519591,42107832,56.4,43.6,45.9,92992772,39103674,57.9,42.1,46.2,87480789,35923514,58.9,41.1,46.7,51278605,16507726,67.8,32.2,52.8,27645931,7508822,72.8,27.2,57.4
05/10/2023 12:00:00 AM,Race_eth_NHAIAN,US,1542907,798965,48.2,51.8,0.7,1444338,714484,50.5,49.5,0.7,1284689,619160,51.8,48.2,0.7,588681,220303,62.6,37.4,0.6,250190,83075,66.8,33.2,0.5
05/10/2023 12:00:00 AM,Race_eth_NHNHOPI,US,580839,296588,48.9,51.1,0.3,541893,261798,51.7,48.3,0.3,484510,227123,53.1,46.9,0.3,186838,61927,66.9,33.1,0.2,73925,21445,71,29,0.2
05/10/2023 12:00:00 AM,Race_eth_Hispanic,US,29770714,17129456,42.5,57.5,14.2,28032142,15565945,44.5,55.5,13.9,24769955,13414578,45.8,54.2,13.2,8923211,3494107,60.8,39.2,9.2,3378182,1088445,67.8,32.2,7
05/03/2023 12:00:00 AM,Race_eth_known,US,165149437,77960920,52.8,47.2,78.7,157671239,71469320,54.7,45.3,78.4,145619494,64192575,55.9,44.1,77.8,75592053,25108852,66.8,33.2,77.8,37761750,10462362,72.3,27.7,78.5
05/03/2023 12:00:00 AM,Race_eth_NHAIAN,US,1541054,797937,48.2,51.8,0.7,1442842,713609,50.5,49.5,0.7,1283322,618334,51.8,48.2,0.7,588047,219929,62.6,37.4,0.6,249916,82928,66.8,33.2,0.5
05/03/2023 12:00:00 AM,Total_Population,US,209962146,100755185,52,48,100,201090427,93052073,53.7,46.3,100,187176780,84570805,54.8,45.2,100,97132984,33641045,65.4,34.6,100,48087219,13987376,70.9,29.1,100
05/03/2023 12:00:00 AM,Race_eth_NHWhite,US,96443911,42059855,56.4,43.6,45.9,92926105,39060991,58,42,46.2,87416547,35881861,59,41,46.7,51242401,16488175,67.8,32.2,52.8,27624921,7500594,72.8,27.2,57.4
05/03/2023 12:00:00 AM,Race_eth_NHMult_Oth,US,8172119,3850014,52.9,47.1,3.9,7659185,3413117,55.4,44.6,3.8,6903740,2975780,56.9,43.1,3.7,3316572,1058956,68.1,31.9,3.4,1664398,451468,72.9,27.1,3.5
05/03/2023 12:00:00 AM,Race_eth_NHOther,US,6226995,2965323,52.4,47.6,3,5913951,2697309,54.4,45.6,2.9,5434768,2413993,55.6,44.4,2.9,2663902,894798,66.4,33.6,2.7,1339384,383000,71.4,28.6,2.8
05/03/2023 12:00:00 AM,Race_eth_unknown,US,44812709,22794265,49.1,50.9,21.3,43419188,21582753,50.3,49.7,21.6,41557286,20378230,51,49,22.2,21540931,8532193,60.4,39.6,22.2,10325469,3525014,65.9,34.1,21.5
05/03/2023 12:00:00 AM,Race_eth_NHBlack,US,17097183,9312062,45.5,54.5,8.1,16380626,8665891,47.1,52.9,8.1,15013733,7692289,48.8,51.2,8,7524703,2770736,63.2,36.8,7.7,3169338,950802,70,30,6.6
05/03/2023 12:00:00 AM,Race_eth_NHNHOPI,US,580377,296323,48.9,51.1,0.3,541517,261572,51.7,48.3,0.3,484170,226906,53.1,46.9,0.3,186711,61864,66.9,33.1,0.2,73884,21436,71,29,0.2
05/03/2023 12:00:00 AM,Race_eth_NHAsian,US,11569166,4529492,60.8,39.2,5.5,10709498,3800198,64.5,35.5,5.3,9766764,3394437,65.2,34.8,5.2,3818104,1019822,73.3,26.7,3.9,1604374,368501,77,23,3.3
05/03/2023 12:00:00 AM,Race_eth_NHMultiracial,US,1945124,884691,54.5,45.5,0.9,1745234,715808,59,41,0.9,1468972,561787,61.8,38.2,0.8,652670,164158,74.8,25.2,0.7,325014,68468,78.9,21.1,0.7
05/03/2023 12:00:00 AM,Race_eth_Hispanic,US,29745627,17115237,42.5,57.5,14.2,28011466,15553942,44.5,55.5,13.9,24751218,13402968,45.8,54.2,13.2,8915515,3489370,60.9,39.1,9.2,3374919,1086633,67.8,32.2,7
