PROVIDER NAME,CITY,STATE,CLAIMS PAID FOR VACCINE
MUNICIPALITY OF SKAGWAY DBA DAHL MEMORIAL CLINIC,SKAGWAY,AK,638.34
CVS PHARMACY #04867,ALABASTER,AL,80
CVS PHARMACY #17350,ALABASTER,AL,80
CVS PHARMACY #04910,ALBERTVILLE,AL,40
CVS PHARMACY #07077,ANDALUSIA,AL,80
CVS PHARMACY #04870,ANNISTON,AL,80
PREMIER FAMILY CARE ARAB LLC,ARAB,AL,240
CVS PHARMACY #04815,ATHENS,AL,80
CVS PHARMACY #04972,ATTALLA,AL,40
CVS PHARMACY #01777,AUBURN,AL,40
CVS PHARMACY #02402,AUBURN,AL,120
CVS PHARMACY #08933,AUBURN,AL,200
CVS PHARMACY #10208,AUBURN,AL,120
SOUTHEASTERN GROCERS,AUBURN,AL,80
THE KROGER CO,AUBURN,AL,635.52
CVS PHARMACY #04938,BAY MINETTE,AL,120
CVS PHARMACY #06017,BAYOU LA BATRE,AL,120
CVS PHARMACY #04830,BESSEMER,AL,80
CVS PHARMACY #04964,BESSEMER,AL,40
FAMILY MEDICAL SERVICES INC.,BESSEMER,AL,7534.1
CVS PHARMACY #04825,BIRMINGHAM,AL,80
CVS PHARMACY #04864,BIRMINGHAM,AL,160
CVS PHARMACY #04871,BIRMINGHAM,AL,40
CVS PHARMACY #04873,BIRMINGHAM,AL,40
CVS PHARMACY #04948,BIRMINGHAM,AL,120
CVS PHARMACY #16898,BIRMINGHAM,AL,240
RAMONA ROACH-DAVIS,BIRMINGHAM,AL,160
PREMIER FAMILY CARE BLOUNTSVILLE LLC,BLOUNTSVILLE,AL,170.66
CVS PHARMACY #00467,CALERA,AL,40
CVS PHARMACY #04973,CAMDEN,AL,40
CVS PHARMACY #04861,CHILDERSBURG,AL,40
CVS PHARMACY #04893,CLANTON,AL,120
CVS PHARMACY #04866,COLUMBIANA,AL,40
CVS PHARMACY #10416,CULLMAN,AL,120
CVS PHARMACY #04959,DAPHNE,AL,80
CVS PHARMACY #04844,DECATUR,AL,120
CVS PHARMACY #10076,ENTERPRISE,AL,80
