Date,Demographic_category,Census,Series_Complete,Series_Complete_Pop_Pct,First_Booster_Eligible,First_Booster_Eligible_Pop_Pct,First_Booster,First_Booster_Pop_Pct,Second_Booster_Eligible,Second_Booster_Eligible_Pop_Pct,Second_Booster,Second_Booster_Pop_Pct
05/10/2023 12:00:00 AM,Ages_65+,54792026,51708613,94.4,51488976,94,38226415,69.8,37981169,69.3,23091808,42.1
05/10/2023 12:00:00 AM,Age_unknown,,2491,,,,4,,,,0,
05/10/2023 12:00:00 AM,Ages_50-64,63659835,53363022,83.8,53154738,83.5,31044427,48.8,30806456,48.4,13652909,21.4
05/10/2023 12:00:00 AM,Ages_12-17,25304508,15639102,61.8,15563334,61.5,5156798,20.4,,,,
05/10/2023 12:00:00 AM,Ages_18-49,139763772,99255944,71,98710046,70.6,41498356,29.7,,,,
05/10/2023 12:00:00 AM,Ages_5+,312265041,229426936,73.5,228233564,73.1,118198935,37.9,,,,
05/10/2023 12:00:00 AM,Ages_5-11,28744900,9460255,32.9,9316470,32.4,2272939,7.9,,,,
05/03/2023 12:00:00 AM,Ages_65+,54792026,51693475,94.3,51449424,93.9,38202110,69.7,37937674,69.2,23043352,42.1
05/03/2023 12:00:00 AM,Ages_12-17,25304508,15635829,61.8,15554568,61.5,5150877,20.4,,,,
05/03/2023 12:00:00 AM,Ages_5+,312265041,229379482,73.5,228063063,73,118129679,37.8,,,,
05/03/2023 12:00:00 AM,Ages_5-11,28744900,9456021,32.9,9300436,32.4,2265554,7.9,,,,
05/03/2023 12:00:00 AM,Ages_18-49,139763772,99237731,71,98638077,70.6,41477197,29.7,,,,
05/03/2023 12:00:00 AM,Ages_50-64,63659835,53356426,83.8,53120558,83.4,31033941,48.7,30762889,48.3,13633160,21.4
05/03/2023 12:00:00 AM,Age_unknown,,2491,,,,3,,,,0,
04/26/2023 12:00:00 AM,Age_unknown,,2490,,,,3,,,,0,
04/26/2023 12:00:00 AM,Ages_5-11,28744900,9451988,32.9,9283890,32.3,2258639,7.9,,,,
