Date,Location,Distributed_Bivalent,Dist_Bivalent_MOD,Dist_Bivalent_PFR,Distributed_Novavax
09/13/2023,AK,334890,107320,227570,6900
09/13/2023,TN,2534470,789840,1744630,23000
09/13/2023,DS2,0,0,0,0
09/13/2023,WV,774140,292460,481680,14400
09/13/2023,DD2,614980,164960,450020,40300
09/13/2023,NC,4841510,1624500,3217010,53700
09/13/2023,NJ,4440690,1418880,3021810,50100
09/13/2023,VI,10380,3900,6480,300
09/13/2023,AR,1138100,407600,730500,31600
09/13/2023,VA,4445840,1392660,3053180,38500
09/13/2023,MD,3983660,1175660,2808000,44700
09/13/2023,AZ,3205950,1021200,2184750,24500
09/13/2023,RI,595060,230540,364520,4800
09/13/2023,WY,172800,57780,115020,4900
09/13/2023,ID,718300,240220,478080,17800
09/13/2023,PW,3490,1400,2090,0
09/13/2023,WA,4852340,1459740,3392600,43500
09/13/2023,LA,1119250,382660,736590,10200
09/13/2023,NV,1111280,320780,790500,9100
09/13/2023,GA,3809370,1236400,2572970,46200
09/13/2023,KY,1825620,571060,1254560,15800
09/13/2023,VA2,1357640,706100,651540,12100
09/13/2023,MO,2368880,766580,1602300,23800
09/13/2023,ME,984300,296560,687740,8100
09/13/2023,IL,7002010,2071560,4930450,37200
09/13/2023,NM,1096130,405060,691070,8600
09/13/2023,OH,4873390,1381120,3492270,35100
09/13/2023,MI,4880050,1664200,3215850,37300
09/13/2023,WI,3066100,968940,2097160,23600
09/13/2023,HI,798040,318280,479760,5400
09/13/2023,NE,861620,220940,640680,8300
09/13/2023,ND,291140,64160,226980,2800
09/13/2023,PA,7027880,2228080,4799800,98200
09/13/2023,DC,534380,166120,368260,4000
09/13/2023,CA,19162180,6371240,12790940,187500
09/13/2023,NY,8876550,2741900,6134650,46700
09/13/2023,MS,847910,286060,561850,9400
09/13/2023,FL,8163880,2978900,5184980,72000
09/13/2023,SD,475990,128100,347890,6000
09/13/2023,VT,510260,134300,375960,3600
09/13/2023,DE,601110,189060,412050,5900
09/13/2023,GU,33810,10100,23710,900
09/13/2023,MA,4527320,1666340,2860980,16000
09/13/2023,AL,1498370,568920,929450,25800
09/13/2023,AS,2110,500,1610,0
09/13/2023,IA,1610970,482720,1128250,23400
09/13/2023,MN,3701260,978980,2722280,20300
09/13/2023,CT,1950850,746620,1204230,10900
09/13/2023,MP,14150,1600,12550,200
09/13/2023,PR,861550,287000,574550,2100
09/13/2023,UT,1212770,258260,954510,10500
09/13/2023,MT,427440,138440,289000,7800
09/13/2023,FM,35640,700,34940,0
09/13/2023,SC,1966370,738580,1227790,49700
09/13/2023,OR,2601970,687040,1914930,26600
09/13/2023,BP2,35400,12600,22800,0
09/13/2023,MH,21740,6300,15440,1100
09/13/2023,IH2,642940,204260,438680,9100
09/13/2023,CO,3188100,863340,2324760,50000
09/13/2023,TX,10562370,3402340,7160030,128000
09/13/2023,OK,1293360,454120,839240,35300
09/13/2023,IN,3156150,887740,2268410,13600
09/13/2023,KS,1330710,375960,954750,23900
09/13/2023,US,153471660,48898440,104573220,1516200
09/13/2023,NH,982460,200280,782180,5400
08/09/2023,MO,2356870,763860,1593010,23700
08/09/2023,WA,4841040,1455560,3385480,43400
08/09/2023,MN,3669630,975460,2694170,20200
08/09/2023,SD,466290,126080,340210,6000
08/09/2023,NH,977080,200180,776900,5400
08/09/2023,NV,1107950,319980,787970,9100
08/09/2023,VI,10380,3900,6480,300
08/09/2023,HI,795000,317200,477800,5400
08/09/2023,ND,287770,63640,224130,2800
08/09/2023,CT,1945070,745220,1199850,10900
08/09/2023,IN,3141510,883420,2258090,13600
08/09/2023,DE,597350,188400,408950,5900
08/09/2023,MA,4509710,1660380,2849330,16000
08/09/2023,OH,4863660,1377920,3485740,33400
08/09/2023,AK,332300,106880,225420,6900
08/09/2023,CO,3171560,859840,2311720,49900
08/09/2023,AR,1134300,406560,727740,31600
08/09/2023,MS,844990,285140,559850,9400
08/09/2023,TN,2497070,775920,1721150,23000
08/09/2023,BP2,35400,12600,22800,0
08/09/2023,MP,14150,1600,12550,200
08/09/2023,PW,3490,1400,2090,0
08/09/2023,FM,35640,700,34940,0
08/09/2023,DD2,614160,164720,449440,40300
08/09/2023,WV,760830,285880,474950,11600
08/09/2023,NC,4812300,1608400,3203900,53700
08/09/2023,MI,4864640,1658420,3206220,37200
08/09/2023,ID,715250,239600,475650,17800
08/09/2023,MT,426380,137740,288640,7800
08/09/2023,MD,3968540,1170660,2797880,44700
08/09/2023,AS,2110,500,1610,0
08/09/2023,MH,21740,6300,15440,1100
08/09/2023,VA2,1357640,706100,651540,12100
08/09/2023,US,152508460,48465660,104042800,1507500
08/09/2023,KS,1323490,373460,950030,23900
08/09/2023,VT,509430,133700,375730,3600
