Common Core
Contact Name,CDC-INFO
Contact Email,cdcinfo@cdcinquiry.onmicrosoft.com
Public Access Level,public
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,US
Temporal Applicability,2020-03-01/2023-11-24
Update Frequency,No longer updated (dataset archived)
Data Quality
Suggested Citation,"Centers for Disease Control and Prevention, COVID-19 Response. COVID-19 Weekly Cases and Deaths by Age, Race/Ethnicity, and Sex (version date: [Month] [Date], [Year])."
Geospatial Resolution,Regional/National
Topics
Category,Public Health Surveillance
Tags,"coronavirus, covid-19, community transmission, county, case, laboratory, ncird-corvd"
Licensing and Attribution
License,Public Domain U.S. Government
