Title,Author(s),Journal,Fiscal Year,Publication Year,DOI Link,All Authors,Category Topics,Journal Information,Keyword Search Expanded,URL,Row
“When I needed it”: Evaluation of the use and timing of Sharsheret’s Thriving Again program for young breast cancer survivors.,"Rohan EA, Townsend JS, Fleischmann A, Stahl S, Shoretz R.",Journal of Cancer Education,2019,2018,https://dx.doi.org/10.1007/s13187-017-1178-7,"Rohan EA, Townsend JS, Fleischmann A, Stahl S, Shoretz R.",Breast Cancer,Journal: Journal of Cancer Education (Volume: 33; Issue: 5; Pages: 976 - 982),"“When I needed it”: Evaluation of the use and timing of Sharsheret’s Thriving Again program for young breast cancer survivors.|Rohan EA|Townsend JS, Fleischmann A, Stahl S, Shoretz R.|Journal of Cancer Education|33",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5548650/,1
10-year trends in noncommunicable disease mortality in the Caribbean region.,"Razzaghi H, Martin DN, Quesnel-Crooks S, Hong Y, Gregg E, Andall-Brereton G, Gawryszweski V, Saraiya M.",Pan American Journal of Public Health,2019,2019,https://dx.doi.org/10.26633/RPSP.2019.37,"Razzaghi H, Martin DN, Quesnel-Crooks S, Hong Y, Gregg E, Andall-Brereton G, Gawryszweski V, Saraiya M.",Health Disparities in Cancer,Journal: Pan American Journal of Public Health (Volume: 43; Issue: ; Pages:  - ),"10-year trends in noncommunicable disease mortality in the Caribbean region.|Razzaghi H|Martin DN, Quesnel-Crooks S, Hong Y, Gregg E, Andall-Brereton G, Gawryszweski V, Saraiya M.|Pan American Journal of Public Health|43",http://iris.paho.org/xmlui/handle/123456789/50554,2
2019 ASCCP risk-based management consensus guidelines for abnormal cervical cancer screening tests and cancer precursors.,"Perkins RB, Guido RS, Castle PE, Chelmow D, Einstein MH, Garcia F, Huh WK, Kim JJ, Moscicki AB, Nayar R, Saraiya M, Sawaya GF, Wentzensen N, Schiffman M; 2019 ASCCP Risk-Based Management Consensus Guidelines Committee.",Journal of Lower Genital Tract Disease,2020,2020,https://dx.doi.org/10.1097/LGT.0000000000000525,"Perkins RB, Guido RS, Castle PE, Chelmow D, Einstein MH, Garcia F, Huh WK, Kim JJ, Moscicki AB, Nayar R, Saraiya M, Sawaya GF, Wentzensen N, Schiffman M; 2019 ASCCP Risk-Based Management Consensus Guidelines Committee.",Cervical Cancer,Journal: Journal of Lower Genital Tract Disease (Volume: 24; Issue: 2; Pages: 102 - 131),"2019 ASCCP risk-based management consensus guidelines for abnormal cervical cancer screening tests and cancer precursors.|Perkins RB|Guido RS, Castle PE, Chelmow D, Einstein MH, Garcia F, Huh WK, Kim JJ, Moscicki AB, Nayar R, Saraiya M, Sawaya GF, Wentzensen N, Schiffman M; 2019 ASCCP Risk-Based Management Consensus Guidelines Committee.|Journal of Lower Genital Tract Disease|24",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7147428/,3
2019 ASCCP risk-based management consensus guidelines: updates through 2023.,"Perkins RB, Guido RS, Castle PE, Chelmow D, Einstein MH, Garcia F, Huh WK, Kim JJ, Moscicki AB, Nayar R, Saraiya M, Sawaya GF, Wentzensen N, Schiffman M; 2019 ASCCP Risk-Based Management Consensus Guidelines Committee.",Journal of Lower Genital Tract Disease,2024,2024,https://dx.doi.org/10.1097/LGT.0000000000000788,"Perkins RB, Guido RS, Castle PE, Chelmow D, Einstein MH, Garcia F, Huh WK, Kim JJ, Moscicki AB, Nayar R, Saraiya M, Sawaya GF, Wentzensen N, Schiffman M; 2019 ASCCP Risk-Based Management Consensus Guidelines Committee.",Cervical Cancer,Journal: Journal of Lower Genital Tract Disease (Volume: 28; Issue: 1; Pages: 3 - 6),"2019 ASCCP risk-based management consensus guidelines: updates through 2023.|Perkins RB|Guido RS, Castle PE, Chelmow D, Einstein MH, Garcia F, Huh WK, Kim JJ, Moscicki AB, Nayar R, Saraiya M, Sawaya GF, Wentzensen N, Schiffman M; 2019 ASCCP Risk-Based Management Consensus Guidelines Committee.|Journal of Lower Genital Tract Disease|28",https://pubmed.ncbi.nlm.nih.gov/38117563/,4
2020 cancer incidence data in the USA reveal effects of the COVID-19 pandemic.,"Townsend JS.,",Lancet Oncology,2023,2023,https://dx.doi.org/10.1016/S1470-2045(23)00337-6,"Townsend JS.,",Breast Cancer,Journal: Lancet Oncology (Volume: 24; Issue: 8; Pages: 825 - 826),2020 cancer incidence data in the USA reveal effects of the COVID-19 pandemic.|Townsend JS.||Lancet Oncology|24,https://pubmed.ncbi.nlm.nih.gov/37541267/,5
"A collaborative, comprehensive approach to fulfilling the promise of cancer prevention and control.","Coates RJ, Given LS, Lee NC, Colditz G.",Cancer Causes and Control,2006,2005,https://dx.doi.org/10.1007/s10552-005-0489-x,"Coates RJ, Given LS, Lee NC, Colditz G.",NCCCP,Journal: Cancer Causes and Control (Volume: 16; Issue: Suppl 1; Pages:  - ),"A collaborative, comprehensive approach to fulfilling the promise of cancer prevention and control.|Coates RJ|Given LS, Lee NC, Colditz G.|Cancer Causes and Control|16",http://www.ncbi.nlm.nih.gov/pubmed/16208569,6
A combined approach to women's health is associated with a greater likelihood of repeat mammography in a population of financially disadvantaged women.,"Gregory-Mercado KY, Will J, True S, Royalty J, Starcher ET 2nd, Khavjou O, Helsel W, Kammerer W, Howe W.",Preventing Chronic Disease,2008,2007,,"Gregory-Mercado KY, Will J, True S, Royalty J, Starcher ET 2nd, Khavjou O, Helsel W, Kammerer W, Howe W.",Breast Cancer,Journal: Preventing Chronic Disease (Volume: 4; Issue: 4; Pages:  - ),"A combined approach to women's health is associated with a greater likelihood of repeat mammography in a population of financially disadvantaged women.|Gregory-Mercado KY|Will J, True S, Royalty J, Starcher ET 2nd, Khavjou O, Helsel W, Kammerer W, Howe W.|Preventing Chronic Disease|4",http://www.cdc.gov/pcd/issues/2007/oct/06_0126.htm,7
A comparison of fecal immunochemical and high-sensitivity guaiac tests for colorectal cancer screening.,"Shapiro JA, Bobo JK, Church TR, Rex DK, Chovnick G, Thompson TD, Zauber AG, Lieberman D, Levin TR, Joseph DA, Nadel MR",American Journal of Gastroenterology,2018,2017,https://dx.doi.org/10.1038/ajg.2017.285,"Shapiro JA, Bobo JK, Church TR, Rex DK, Chovnick G, Thompson TD, Zauber AG, Lieberman D, Levin TR, Joseph DA, Nadel MR",Colorectal (Colon) Cancer,Journal: American Journal of Gastroenterology (Volume: 112; Issue: 11; Pages: 1728 - 1735),"A comparison of fecal immunochemical and high-sensitivity guaiac tests for colorectal cancer screening.|Shapiro JA|Bobo JK, Church TR, Rex DK, Chovnick G, Thompson TD, Zauber AG, Lieberman D, Levin TR, Joseph DA, Nadel MR|American Journal of Gastroenterology|112",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6077997/,8
"A comparison of general, genitourinary, bowel, and sexual quality of life among long term survivors of prostate, bladder, colorectal, and lung cancer.","Ramsey SD, Hall IJ, Smith JL, Ekwueme DU, Fedorenko CR, Kreizenbeck K, Bansal A, Thompson IM, Penson DF.",Journal of Geriatric Oncology,2020,2020,https://dx.doi.org/10.1016/j.jgo.2020.07.014,"Ramsey SD, Hall IJ, Smith JL, Ekwueme DU, Fedorenko CR, Kreizenbeck K, Bansal A, Thompson IM, Penson DF.",Cancer Survivorship,Journal: Journal of Geriatric Oncology (Volume: ; Issue: ; Pages:  - ),"A comparison of general, genitourinary, bowel, and sexual quality of life among long term survivors of prostate, bladder, colorectal, and lung cancer.|Ramsey SD|Hall IJ, Smith JL, Ekwueme DU, Fedorenko CR, Kreizenbeck K, Bansal A, Thompson IM, Penson DF.|Journal of Geriatric Oncology|",https://pubmed.ncbi.nlm.nih.gov/32739353/,9
"A comprehensive analysis of neuroblastoma incidence, survival, and racial and ethnic disparities from 2001 to 2019.","Campbell K., Siegel DA, Umaretiya PJ, Dai S, Heczey A, Lupo PJ, Schraw JM, Thompson TD, Scheurer ME, Foster JH.",Pediatric Blood and Cancer,2024,2023,https://dx.doi.org/10.1002/pbc.30732,"Campbell K., Siegel DA, Umaretiya PJ, Dai S, Heczey A, Lupo PJ, Schraw JM, Thompson TD, Scheurer ME, Foster JH.",Health Disparities in Cancer,Journal: Pediatric Blood and Cancer (Volume: ; Issue: ; Pages:  - ),"A comprehensive analysis of neuroblastoma incidence, survival, and racial and ethnic disparities from 2001 to 2019.|Campbell K.|Siegel DA, Umaretiya PJ, Dai S, Heczey A, Lupo PJ, Schraw JM, Thompson TD, Scheurer ME, Foster JH.|Pediatric Blood and Cancer|",https://pubmed.ncbi.nlm.nih.gov/37867409/,10
