Common Core
Contact Name,The National Environmental Assessment Reporting System (NEARS)
Contact Email,nears@cdc.gov
Publisher,Cambridge University - Epidemiology and Infection
Public Access Level,public
Bureau Code,009:20
Program Code,009:032
Topics
Category,"Foodborne, Waterborne, and Related Diseases"
Tags,"foodborne, environmental health, centers for disease control and prevention"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/nceh/ehs/nears/index.htm
