Common Core
Contact Name,Oral Health Inquiries
Contact Email,oralhealth@cdc.gov
Publisher,Centers for Disease Control and Prevention
Public Access Level,public
Issued,"July 27, 2023"
Bureau Code,009:20
Program Code,009:020
Homepage,https://www.cdc.gov/oralhealth/about/index.htm
Dataset Information
Glossary/Methodology,https://chronicdata.cdc.gov/Oral-Health/ASTDD-Synopses-of-State-Oral-Health-Programs-Selec/vwmz-4ja3
Topics
Category,Oral Health
Tags,"oral health, county level, state level, fluoridation, wfrs, community water fluoridation"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://www.cdc.gov/oralhealth/about/index.htm
