Comparison_Type,Week_Ending,Current_Season_Week_Ending_Label,Comparison_Group1,Comparison_Group2,Comparison_Group1_Point_Estimate,Comparison_Group2_Point_Estimate,Difference_Estimate,Difference_Estimate_Lower_95_CI,Difference_Estimate_Upper_95_CI,Signficant_at_95_Pct,Comparison_Group1_Sort_Order,Comparison_Group2_Sort_Order
Within Season Race Comparison,10/07/2023,10/07/2023,"Black, Non-Hispanic",Hispanic,17.6,21.5,-3.9,-6.05,-1.81,*,18,19
Within Season Race Comparison,10/14/2023,10/14/2023,"Black, Non-Hispanic",Hispanic,18.8,23.6,-4.8,-7.04,-2.64,*,18,19
Within Season Race Comparison,10/21/2023,10/21/2023,"Black, Non-Hispanic",Hispanic,20.4,27.1,-6.7,-9.34,-4.03,*,18,19
Within Season Race Comparison,10/28/2023,10/28/2023,"Black, Non-Hispanic",Hispanic,22,28.8,-6.8,-9.95,-3.74,*,18,19
Within Season Race Comparison,11/04/2023,11/04/2023,"Black, Non-Hispanic",Hispanic,30.2,34.7,-4.5,-6.61,-2.31,*,18,19
Within Season Race Comparison,11/11/2023,11/11/2023,"Black, Non-Hispanic",Hispanic,31.2,36.7,-5.4,-7.78,-3.12,*,18,19
Within Season Race Comparison,11/18/2023,11/18/2023,"Black, Non-Hispanic",Hispanic,31.5,37.4,-6,-8.24,-3.71,*,18,19
Within Season Race Comparison,11/25/2023,11/25/2023,"Black, Non-Hispanic",Hispanic,31.7,38.8,-7.1,-9.6,-4.64,*,18,19
Within Season Race Comparison,12/02/2023,12/02/2023,"Black, Non-Hispanic",Hispanic,37.9,43.8,-5.9,-8.09,-3.73,*,18,19
Within Season Race Comparison,12/09/2023,12/09/2023,"Black, Non-Hispanic",Hispanic,38,43.8,-5.8,-7.99,-3.63,*,18,19
Within Season Race Comparison,12/16/2023,12/16/2023,"Black, Non-Hispanic",Hispanic,38.8,44.4,-5.6,-8.19,-3.03,*,18,19
Within Season Race Comparison,12/23/2023,12/23/2023,"Black, Non-Hispanic",Hispanic,39.3,45.2,-5.9,-8.63,-3.16,*,18,19
Within Season Race Comparison,12/30/2023,12/30/2023,"Black, Non-Hispanic",Hispanic,39.3,45.3,-6,-8.7,-3.21,*,18,19
Within Season Race Comparison,01/06/2024,01/06/2024,"Black, Non-Hispanic",Hispanic,42.2,49.7,-7.5,-9.91,-5.17,*,18,19
Within Season Race Comparison,01/13/2024,01/13/2024,"Black, Non-Hispanic",Hispanic,42.2,50.2,-8,-10.38,-5.58,*,18,19
Within Season Race Comparison,01/20/2024,01/20/2024,"Black, Non-Hispanic",Hispanic,42.3,50.9,-8.6,-11.08,-6.18,*,18,19
Within Season Race Comparison,01/27/2024,01/27/2024,"Black, Non-Hispanic",Hispanic,42.5,51.3,-8.7,-11.3,-6.17,*,18,19
Within Season Race Comparison,02/03/2024,02/03/2024,"Black, Non-Hispanic",Hispanic,44.5,53.5,-9,-11.53,-6.5,*,18,19
Within Season Race Comparison,02/10/2024,02/10/2024,"Black, Non-Hispanic",Hispanic,44.7,54.6,-9.9,-12.52,-7.31,*,18,19
Within Season Race Comparison,02/17/2024,02/17/2024,"Black, Non-Hispanic",Hispanic,46,54.6,-8.6,-11.37,-5.79,*,18,19
Within Season Race Comparison,02/24/2024,02/24/2024,"Black, Non-Hispanic",Hispanic,46,54.6,-8.6,-11.39,-5.82,*,18,19
Within Season Race Comparison,03/02/2024,03/02/2024,"Black, Non-Hispanic",Hispanic,46.6,56.3,-9.7,-12.38,-6.99,*,18,19
Within Season Race Comparison,03/09/2024,03/09/2024,"Black, Non-Hispanic",Hispanic,46.9,56.3,-9.3,-12.09,-6.57,*,18,19
Within Season Race Comparison,03/16/2024,03/16/2024,"Black, Non-Hispanic",Hispanic,47,56.3,-9.2,-11.96,-6.48,*,18,19
Within Season Race Comparison,03/23/2024,03/23/2024,"Black, Non-Hispanic",Hispanic,47.4,56.3,-8.9,-11.68,-6.17,*,18,19
Within Season Race Comparison,03/30/2024,03/30/2024,"Black, Non-Hispanic",Hispanic,47.4,56.3,-8.9,-11.68,-6.17,*,18,19
Within Season Race Comparison,04/06/2024,04/06/2024,"Black, Non-Hispanic",Hispanic,48.2,58.6,-10.5,-13.41,-7.51,*,18,19
Within Season Race Comparison,04/13/2024,04/13/2024,"Black, Non-Hispanic",Hispanic,48.2,58.7,-10.5,-13.46,-7.55,*,18,19
Within Season Race Comparison,04/20/2024,04/20/2024,"Black, Non-Hispanic",Hispanic,48.2,59,-10.8,-13.77,-7.85,*,18,19
Within Season Race Comparison,04/27/2024,04/27/2024,"Black, Non-Hispanic",Hispanic,48.2,59.2,-11,-14,-8.03,*,18,19
Within Season Race Comparison,05/04/2024,05/04/2024,"Black, Non-Hispanic",Hispanic,49.1,59.6,-10.5,-13.79,-7.28,*,18,19
Within Season Race Comparison,05/11/2024,05/11/2024,"Black, Non-Hispanic",Hispanic,49.1,59.6,-10.5,-13.79,-7.28,*,18,19
Within Season Race Comparison,10/07/2023,10/07/2023,"Black, Non-Hispanic","Other, Non-Hispanic",17.6,20.8,-3.3,-5.9,-0.67,*,18,21
Within Season Race Comparison,10/07/2023,10/07/2023,Hispanic,"Other, Non-Hispanic",21.5,20.8,0.6,-1.68,2.97,,19,21
Within Season Race Comparison,10/07/2023,10/07/2023,"White, Non-Hispanic","Other, Non-Hispanic",15.8,20.8,-5.1,-7.19,-2.98,*,20,21
Within Season Race Comparison,10/14/2023,10/14/2023,"White, Non-Hispanic","Other, Non-Hispanic",19.2,24.5,-5.3,-7.76,-2.83,*,20,21
Within Season Race Comparison,10/14/2023,10/14/2023,Hispanic,"Other, Non-Hispanic",23.6,24.5,-0.9,-3.53,1.78,,19,21
Within Season Race Comparison,10/14/2023,10/14/2023,"Black, Non-Hispanic","Other, Non-Hispanic",18.8,24.5,-5.7,-8.51,-2.93,*,18,21
Within Season Race Comparison,10/21/2023,10/21/2023,"Black, Non-Hispanic","Other, Non-Hispanic",20.4,29.6,-9.2,-12.58,-5.82,*,18,21
Within Season Race Comparison,10/21/2023,10/21/2023,Hispanic,"Other, Non-Hispanic",27.1,29.6,-2.5,-5.86,0.83,,19,21
Within Season Race Comparison,10/21/2023,10/21/2023,"White, Non-Hispanic","Other, Non-Hispanic",23.3,29.6,-6.3,-9.34,-3.25,*,20,21
Within Season Race Comparison,10/28/2023,10/28/2023,"White, Non-Hispanic","Other, Non-Hispanic",24.9,31.8,-6.9,-10.8,-3,*,20,21
