Common Core
Contact Name,DASH Public Inquiries
Contact Email,nccddashinfo@cdc.gov
Publisher,Centers for Disease Control and Prevention
Public Access Level,public
Issued,"July 27, 2023"
Bureau Code,009:20
Program Code,009:020
Described By,https://chronicdata.cdc.gov/Youth-Risk-Behaviors/DASH-Youth-Risk-Behavior-Surveillance-System-YRBSS/svam-8dhg
Homepage,https://www.cdc.gov/healthyyouth/data/yrbs/index.htm
Topics
Category,Youth Risk Behaviors
Tags,"dash, youth risk, yrbss, behaviors, youth risk behavior surveillance system"
Licensing and Attribution
License,Public Domain
Source Link,https://www.cdc.gov/healthyyouth/data/yrbs/index.htm
