Common Core
Contact Name,Craig Kassinger
Contact Email,nephtrackingsupport@cdc.gov
Public Access Level,public
Bureau Code,009:20
Program Code,009:020
Geographic Coverage,U.S. states
Temporal Applicability,2001-2019
Homepage,nephtrackingsupport@cdc.gov
Language,English
Data Quality
Geospatial Resolution,county
Topics
Category,Environmental Health & Toxicology
Tags,"environmental health, air pollution, • asthma, ozone, air quality, national ambient air quality standards, national environmental health tracking network"
Licensing and Attribution
License,Public Domain U.S. Government
Source Link,https://ephtracking.cdc.gov/DataExplorer/#/
