Comparison_Type,Week_Ending,Current_Season_Week_Ending_Label,Comparison_Group1,Comparison_Group2,Comparison_Group1_Point_Estimate,Comparison_Group2_Point_Estimate,Difference_Estimate,Difference_Estimate_Lower_95_CI,Difference_Estimate_Upper_95_CI,Significant_at_95_Pct,Comparison_Group1_Sort_Order,Comparison_Group2_Sort_Order
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic","Asian, Non-Hispanic",33.2,47.8,-14.6,-18.67,-10.52,*,22,23
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic","Black, Non-Hispanic",33.2,38.6,-5.43,-9.02,-1.83,*,22,24
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic",Hispanic,33.2,34,-0.82,-4.34,2.71,,22,25
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic","Multiple or Other Races, Non-Hispanic",33.2,34.9,-1.66,-5.7,2.38,,22,26
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic","Other, Non-Hispanic",33.2,41.4,-8.16,-11.83,-4.49,*,22,27
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",33.2,36.1,-2.93,-9.24,3.39,,22,28
Within Season Race Comparison,2024-01-06,2024-01-06,"American Indian/Alaska Native, Non-Hispanic","White, Non-Hispanic",33.2,47.9,-14.67,-18.04,-11.3,*,22,29
Within Season Race Comparison,2024-01-06,2024-01-06,"Asian, Non-Hispanic","Black, Non-Hispanic",47.8,38.6,9.17,6.45,11.9,*,23,24
Within Season Race Comparison,2024-01-06,2024-01-06,"Asian, Non-Hispanic",Hispanic,47.8,34,13.78,11.15,16.41,*,23,25
Within Season Race Comparison,2024-01-06,2024-01-06,"Asian, Non-Hispanic","Multiple or Other Races, Non-Hispanic",47.8,34.9,12.93,9.64,16.22,*,23,26
Within Season Race Comparison,2024-01-06,2024-01-06,"Asian, Non-Hispanic","Other, Non-Hispanic",47.8,41.4,6.44,3.62,9.26,*,23,27
Within Season Race Comparison,2024-01-06,2024-01-06,"Asian, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",47.8,36.1,11.67,5.81,17.53,*,23,28
Within Season Race Comparison,2024-01-06,2024-01-06,"Asian, Non-Hispanic","White, Non-Hispanic",47.8,47.9,-0.07,-2.49,2.35,,23,29
Within Season Race Comparison,2024-01-06,2024-01-06,"Black, Non-Hispanic",Hispanic,38.6,34,4.61,2.81,6.4,*,24,25
Within Season Race Comparison,2024-01-06,2024-01-06,"Black, Non-Hispanic","Multiple or Other Races, Non-Hispanic",38.6,34.9,3.76,1.09,6.43,*,24,26
Within Season Race Comparison,2024-01-06,2024-01-06,"Black, Non-Hispanic","Other, Non-Hispanic",38.6,41.4,-2.73,-4.8,-0.67,*,24,27
Within Season Race Comparison,2024-01-06,2024-01-06,"Black, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",38.6,36.1,2.5,-3.04,8.04,,24,28
Within Season Race Comparison,2024-01-06,2024-01-06,"Black, Non-Hispanic","White, Non-Hispanic",38.6,47.9,-9.24,-10.72,-7.77,*,24,29
Within Season Race Comparison,2024-01-06,2024-01-06,Hispanic,"Multiple or Other Races, Non-Hispanic",34,34.9,-0.84,-3.42,1.73,,25,26
Within Season Race Comparison,2024-01-06,2024-01-06,Hispanic,"Other, Non-Hispanic",34,41.4,-7.34,-9.28,-5.4,*,25,27
Within Season Race Comparison,2024-01-06,2024-01-06,Hispanic,"Pacific Islander/Native Hawaiian, Non-Hispanic",34,36.1,-2.11,-7.6,3.38,,25,28
Within Season Race Comparison,2024-01-06,2024-01-06,Hispanic,"White, Non-Hispanic",34,47.9,-13.85,-15.14,-12.56,*,25,29
Within Season Race Comparison,2024-01-06,2024-01-06,"Multiple or Other Races, Non-Hispanic","Other, Non-Hispanic",34.9,41.4,-6.49,-9.26,-3.73,*,26,27
Within Season Race Comparison,2024-01-06,2024-01-06,"Multiple or Other Races, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",34.9,36.1,-1.27,-7.1,4.57,,26,28
Within Season Race Comparison,2024-01-06,2024-01-06,"Multiple or Other Races, Non-Hispanic","White, Non-Hispanic",34.9,47.9,-13.01,-15.37,-10.65,*,26,29
Within Season Race Comparison,2024-01-06,2024-01-06,"Other, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",41.4,36.1,5.23,-0.36,10.82,,27,28
Within Season Race Comparison,2024-01-06,2024-01-06,"Other, Non-Hispanic","White, Non-Hispanic",41.4,47.9,-6.51,-8.16,-4.86,*,27,29
Within Season Race Comparison,2024-01-06,2024-01-06,"Pacific Islander/Native Hawaiian, Non-Hispanic","White, Non-Hispanic",36.1,47.9,-11.74,-17.14,-6.34,*,28,29
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic","Asian, Non-Hispanic",33.2,47.9,-14.67,-18.74,-10.59,*,22,23
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic","Black, Non-Hispanic",33.2,38.9,-5.69,-9.28,-2.09,*,22,24
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic",Hispanic,33.2,34.1,-0.93,-4.45,2.6,,22,25
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic","Multiple or Other Races, Non-Hispanic",33.2,35,-1.78,-5.82,2.26,,22,26
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic","Other, Non-Hispanic",33.2,41.6,-8.38,-12.05,-4.7,*,22,27
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",33.2,36.6,-3.36,-9.71,2.99,,22,28
Within Season Race Comparison,2024-01-13,2024-01-13,"American Indian/Alaska Native, Non-Hispanic","White, Non-Hispanic",33.2,48.2,-14.99,-18.36,-11.61,*,22,29
Within Season Race Comparison,2024-01-13,2024-01-13,"Asian, Non-Hispanic","Black, Non-Hispanic",47.9,38.9,8.98,6.25,11.71,*,23,24
Within Season Race Comparison,2024-01-13,2024-01-13,"Asian, Non-Hispanic",Hispanic,47.9,34.1,13.74,11.1,16.37,*,23,25
Within Season Race Comparison,2024-01-13,2024-01-13,"Asian, Non-Hispanic","Multiple or Other Races, Non-Hispanic",47.9,35,12.89,9.6,16.18,*,23,26
Within Season Race Comparison,2024-01-13,2024-01-13,"Asian, Non-Hispanic","Other, Non-Hispanic",47.9,41.6,6.29,3.46,9.12,*,23,27
Within Season Race Comparison,2024-01-13,2024-01-13,"Asian, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",47.9,36.6,11.3,5.4,17.2,*,23,28
Within Season Race Comparison,2024-01-13,2024-01-13,"Asian, Non-Hispanic","White, Non-Hispanic",47.9,48.2,-0.32,-2.75,2.1,,23,29
Within Season Race Comparison,2024-01-13,2024-01-13,"Black, Non-Hispanic",Hispanic,38.9,34.1,4.76,2.95,6.57,*,24,25
Within Season Race Comparison,2024-01-13,2024-01-13,"Black, Non-Hispanic","Multiple or Other Races, Non-Hispanic",38.9,35,3.91,1.23,6.58,*,24,26
Within Season Race Comparison,2024-01-13,2024-01-13,"Black, Non-Hispanic","Other, Non-Hispanic",38.9,41.6,-2.69,-4.77,-0.61,*,24,27
