Week Ending,Demographic Level,Comparison Group 1,Comparison Group 2,Comparison Group 1 Estimate,Comparison Group 2 Estimate,Estimate Difference,Difference_Estimate_Lower_95 CI,Difference_Estimate_Upper_95_CI,Significant_at_95_pct,Comparison Group 1 Sort Order,Comparison Group 2 Sort Order
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Asian, Non-Hispanic",8.9,13.3,-4.4,-7.5,-1.2,*,14,15
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Black, Non-Hispanic",8.9,10.1,-1.2,-3.6,1.2,,14,16
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",8.9,5.4,3.4,0.5,6.3,*,14,20
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","White, Non-Hispanic",8.9,16.7,-7.9,-10.1,-5.6,*,14,21
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",Hispanic,8.9,8.4,0.5,-2,3,,14,17
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Multiple or Other Races, Non-Hispanic",8.9,10.6,-1.8,-4.7,1.2,,14,18
12/02/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Other, Non-Hispanic",8.9,10.9,-2,-4.6,0.6,,14,19
12/02/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Black, Non-Hispanic",13.3,10.1,3.2,0.7,5.6,*,15,16
12/02/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",13.3,5.4,7.8,4.9,10.7,*,15,20
12/02/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","White, Non-Hispanic",13.3,16.7,-3.5,-5.7,-1.2,*,15,21
12/02/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic",Hispanic,13.3,8.4,4.9,2.4,7.4,*,15,17
12/02/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Multiple or Other Races, Non-Hispanic",13.3,10.6,2.6,-0.3,5.6,,15,18
12/02/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Other, Non-Hispanic",13.3,10.9,2.4,-0.2,4.9,,15,19
12/02/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",10.1,5.4,4.6,2.5,6.8,*,16,20
12/02/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","White, Non-Hispanic",10.1,16.7,-6.7,-7.7,-5.6,*,16,21
12/02/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic",Hispanic,10.1,8.4,1.7,0.3,3.2,*,16,17
12/02/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","Multiple or Other Races, Non-Hispanic",10.1,10.6,-0.6,-2.8,1.6,,16,18
12/02/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","Other, Non-Hispanic",10.1,10.9,-0.8,-2.5,0.9,,16,19
12/02/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"Pacific Islander/Native Hawaiian, Non-Hispanic",8.4,5.4,2.9,0.7,5.1,*,17,20
12/02/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"White, Non-Hispanic",8.4,16.7,-8.4,-9.6,-7.2,*,17,21
12/02/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"Multiple or Other Races, Non-Hispanic",8.4,10.6,-2.3,-4.5,-0.1,*,17,18
12/02/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"Other, Non-Hispanic",8.4,10.9,-2.5,-4.3,-0.8,*,17,19
12/02/2023 12:00:00 AM,Race/Ethnicity,"Multiple or Other Races, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",10.6,5.4,5.2,2.5,7.9,*,18,20
12/02/2023 12:00:00 AM,Race/Ethnicity,"Multiple or Other Races, Non-Hispanic","White, Non-Hispanic",10.6,16.7,-6.1,-8.1,-4.1,*,18,21
12/02/2023 12:00:00 AM,Race/Ethnicity,"Multiple or Other Races, Non-Hispanic","Other, Non-Hispanic",10.6,10.9,-0.2,-2.6,2.1,,18,19
12/02/2023 12:00:00 AM,Race/Ethnicity,"Other, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",10.9,5.4,5.4,3.2,7.7,*,19,20
12/02/2023 12:00:00 AM,Race/Ethnicity,"Other, Non-Hispanic","White, Non-Hispanic",10.9,16.7,-5.8,-7.2,-4.4,*,19,21
12/02/2023 12:00:00 AM,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic","White, Non-Hispanic",5.4,16.7,-11.3,-13.2,-9.4,*,20,21
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Asian, Non-Hispanic",9.8,13.3,-3.5,-7,-0.1,*,14,15
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Black, Non-Hispanic",9.8,10.3,-0.5,-3.4,2.4,,14,16
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",Hispanic,9.8,8.6,1.2,-1.7,4,,14,17
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Multiple or Other Races, Non-Hispanic",9.8,10.6,-0.9,-4.2,2.4,,14,18
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Other, Non-Hispanic",9.8,10.9,-1.1,-4.1,1.8,,14,19
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",9.8,5.4,4.3,1.1,7.6,*,14,20
12/09/2023 12:00:00 AM,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic","White, Non-Hispanic",9.8,17.5,-7.8,-10.5,-5,*,14,21
12/09/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Black, Non-Hispanic",13.3,10.3,3,0.6,5.5,*,15,16
12/09/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic",Hispanic,13.3,8.6,4.7,2.2,7.2,*,15,17
12/09/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Multiple or Other Races, Non-Hispanic",13.3,10.6,2.6,-0.3,5.6,,15,18
12/09/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Other, Non-Hispanic",13.3,10.9,2.4,-0.2,5,,15,19
12/09/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",13.3,5.4,7.8,4.9,10.7,*,15,20
12/09/2023 12:00:00 AM,Race/Ethnicity,"Asian, Non-Hispanic","White, Non-Hispanic",13.3,17.5,-4.2,-6.5,-2,*,15,21
12/09/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic",Hispanic,10.3,8.6,1.7,0.1,3.2,*,16,17
12/09/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","Multiple or Other Races, Non-Hispanic",10.3,10.6,-0.4,-2.6,1.8,,16,18
12/09/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","Other, Non-Hispanic",10.3,10.9,-0.6,-2.3,1.1,,16,19
12/09/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","Pacific Islander/Native Hawaiian, Non-Hispanic",10.3,5.4,4.8,2.7,7,*,16,20
12/09/2023 12:00:00 AM,Race/Ethnicity,"Black, Non-Hispanic","White, Non-Hispanic",10.3,17.5,-7.3,-8.5,-6,*,16,21
12/09/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"Multiple or Other Races, Non-Hispanic",8.6,10.6,-2.1,-4.3,0.2,,17,18
12/09/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"Other, Non-Hispanic",8.6,10.9,-2.3,-4,-0.6,*,17,19
12/09/2023 12:00:00 AM,Race/Ethnicity,Hispanic,"Pacific Islander/Native Hawaiian, Non-Hispanic",8.6,5.4,3.1,1,5.3,*,17,20
